value,date,id
1.0,2015-01-12 00:00:00,HF00000EPT
1.0002,2015-01-16 00:00:00,HF00000EPT
1.0132,2015-02-27 00:00:00,HF00000EPT
1.0266,2015-03-06 00:00:00,HF00000EPT
1.0263,2015-03-13 00:00:00,HF00000EPT
1.0456,2015-03-27 00:00:00,HF00000EPT
1.0522,2015-03-31 00:00:00,HF00000EPT
1.0604,2015-04-03 00:00:00,HF00000EPT
1.0653,2015-04-10 00:00:00,HF00000EPT
1.0617,2015-04-17 00:00:00,HF00000EPT
1.0745,2015-04-24 00:00:00,HF00000EPT
1.074,2015-04-30 00:00:00,HF00000EPT
1.0915,2015-05-08 00:00:00,HF00000EPT
1.0933,2015-05-15 00:00:00,HF00000EPT
1.1123,2015-05-22 00:00:00,HF00000EPT
1.1192,2015-05-29 00:00:00,HF00000EPT
1.1651,2015-06-05 00:00:00,HF00000EPT
1.1827,2015-06-12 00:00:00,HF00000EPT
1.137,2015-06-19 00:00:00,HF00000EPT
1.1653,2015-06-26 00:00:00,HF00000EPT
1.1823,2015-06-30 00:00:00,HF00000EPT
1.1651,2015-07-03 00:00:00,HF00000EPT
1.1879,2015-07-10 00:00:00,HF00000EPT
1.1948,2015-07-17 00:00:00,HF00000EPT
1.2001,2015-07-24 00:00:00,HF00000EPT
1.1939,2015-07-31 00:00:00,HF00000EPT
