value,date,id
1.0,2015-01-30 00:00:00,HF00000ERM
1.0022,2015-02-06 00:00:00,HF00000ERM
1.03,2015-02-13 00:00:00,HF00000ERM
1.0673,2015-02-27 00:00:00,HF00000ERM
1.0941,2015-03-06 00:00:00,HF00000ERM
1.1149,2015-03-13 00:00:00,HF00000ERM
1.1642,2015-03-20 00:00:00,HF00000ERM
1.1834,2015-03-27 00:00:00,HF00000ERM
1.226,2015-04-03 00:00:00,HF00000ERM
1.2508,2015-04-10 00:00:00,HF00000ERM
1.2991,2015-04-17 00:00:00,HF00000ERM
1.3607,2015-04-24 00:00:00,HF00000ERM
1.3627,2015-04-30 00:00:00,HF00000ERM
1.3306,2015-05-08 00:00:00,HF00000ERM
1.4021,2015-05-15 00:00:00,HF00000ERM
1.5333,2015-05-22 00:00:00,HF00000ERM
1.5725,2015-05-29 00:00:00,HF00000ERM
1.717,2015-06-05 00:00:00,HF00000ERM
1.7593,2015-06-12 00:00:00,HF00000ERM
1.6457,2015-06-19 00:00:00,HF00000ERM
1.5829,2015-06-26 00:00:00,HF00000ERM
1.3225,2015-07-10 00:00:00,HF00000ERM
1.3927,2015-07-17 00:00:00,HF00000ERM
1.3719,2015-07-24 00:00:00,HF00000ERM
1.3643,2015-07-31 00:00:00,HF00000ERM
1.3746,2015-08-07 00:00:00,HF00000ERM
