value,date,id
1.0,2015-02-16 00:00:00,HF00000F1R
1.0003,2015-02-17 00:00:00,HF00000F1R
1.002,2015-02-27 00:00:00,HF00000F1R
1.0032,2015-03-06 00:00:00,HF00000F1R
1.0044,2015-03-13 00:00:00,HF00000F1R
1.0056,2015-03-20 00:00:00,HF00000F1R
1.0068,2015-03-27 00:00:00,HF00000F1R
1.008,2015-04-03 00:00:00,HF00000F1R
1.0092,2015-04-10 00:00:00,HF00000F1R
1.0104,2015-04-17 00:00:00,HF00000F1R
1.0116,2015-04-24 00:00:00,HF00000F1R
1.0126,2015-04-30 00:00:00,HF00000F1R
1.0139,2015-05-08 00:00:00,HF00000F1R
1.0151,2015-05-15 00:00:00,HF00000F1R
1.0163,2015-05-22 00:00:00,HF00000F1R
1.0175,2015-05-29 00:00:00,HF00000F1R
1.0199,2015-06-12 00:00:00,HF00000F1R
1.0211,2015-06-19 00:00:00,HF00000F1R
1.0223,2015-06-26 00:00:00,HF00000F1R
1.0234,2015-07-03 00:00:00,HF00000F1R
1.0246,2015-07-10 00:00:00,HF00000F1R
1.0258,2015-07-17 00:00:00,HF00000F1R
1.027,2015-07-24 00:00:00,HF00000F1R
1.0282,2015-07-31 00:00:00,HF00000F1R
