value,date,id
1.0,2015-02-12 00:00:00,HF00000F4C
1.0022,2015-02-27 00:00:00,HF00000F4C
1.0205,2015-03-06 00:00:00,HF00000F4C
1.0524,2015-03-13 00:00:00,HF00000F4C
1.1102,2015-03-20 00:00:00,HF00000F4C
1.1356,2015-03-27 00:00:00,HF00000F4C
1.1401,2015-03-31 00:00:00,HF00000F4C
1.189,2015-04-03 00:00:00,HF00000F4C
1.2672,2015-04-10 00:00:00,HF00000F4C
1.2395,2015-04-17 00:00:00,HF00000F4C
1.4165,2015-04-24 00:00:00,HF00000F4C
1.41,2015-04-30 00:00:00,HF00000F4C
1.4071,2015-05-08 00:00:00,HF00000F4C
1.6034,2015-05-15 00:00:00,HF00000F4C
1.7548,2015-05-22 00:00:00,HF00000F4C
1.8226,2015-05-29 00:00:00,HF00000F4C
1.9449,2015-06-05 00:00:00,HF00000F4C
2.0705,2015-06-12 00:00:00,HF00000F4C
1.6607,2015-06-19 00:00:00,HF00000F4C
1.4816,2015-06-26 00:00:00,HF00000F4C
1.3932,2015-06-30 00:00:00,HF00000F4C
1.2715,2015-07-03 00:00:00,HF00000F4C
1.1515,2015-07-10 00:00:00,HF00000F4C
1.2415,2015-07-17 00:00:00,HF00000F4C
1.3652,2015-07-24 00:00:00,HF00000F4C
1.1858,2015-07-31 00:00:00,HF00000F4C
1.2379,2015-08-07 00:00:00,HF00000F4C
