value,date,id
1.0,2015-01-23 00:00:00,HF00000F73
0.9807,2015-01-30 00:00:00,HF00000F73
1.0022,2015-02-06 00:00:00,HF00000F73
1.0563,2015-02-27 00:00:00,HF00000F73
1.0412,2015-03-06 00:00:00,HF00000F73
1.1057,2015-03-13 00:00:00,HF00000F73
1.1468,2015-03-20 00:00:00,HF00000F73
1.1045,2015-03-27 00:00:00,HF00000F73
1.1222,2015-04-03 00:00:00,HF00000F73
1.1705,2015-04-10 00:00:00,HF00000F73
1.2175,2015-04-17 00:00:00,HF00000F73
1.3119,2015-04-24 00:00:00,HF00000F73
1.3213,2015-04-30 00:00:00,HF00000F73
1.2317,2015-05-08 00:00:00,HF00000F73
1.2735,2015-05-15 00:00:00,HF00000F73
1.386,2015-06-05 00:00:00,HF00000F73
1.1059,2015-06-12 00:00:00,HF00000F73
0.9806,2015-06-19 00:00:00,HF00000F73
0.9998,2015-06-26 00:00:00,HF00000F73
0.8102,2015-07-10 00:00:00,HF00000F73
0.9681,2015-07-17 00:00:00,HF00000F73
0.9284,2015-07-31 00:00:00,HF00000F73
0.8978,2015-08-07 00:00:00,HF00000F73
