value,date,id
1.0,2014-12-29 00:00:00,HF00000FAK
1.0041,2015-01-20 00:00:00,HF00000FAK
1.0043,2015-01-21 00:00:00,HF00000FAK
1.0045,2015-01-22 00:00:00,HF00000FAK
1.0046,2015-01-23 00:00:00,HF00000FAK
1.0052,2015-01-26 00:00:00,HF00000FAK
1.0053,2015-01-27 00:00:00,HF00000FAK
1.0055,2015-01-28 00:00:00,HF00000FAK
1.0057,2015-01-29 00:00:00,HF00000FAK
1.0059,2015-01-30 00:00:00,HF00000FAK
1.0064,2015-02-02 00:00:00,HF00000FAK
1.0066,2015-02-03 00:00:00,HF00000FAK
1.0068,2015-02-04 00:00:00,HF00000FAK
1.0069,2015-02-05 00:00:00,HF00000FAK
1.0071,2015-02-06 00:00:00,HF00000FAK
1.0077,2015-02-09 00:00:00,HF00000FAK
1.0078,2015-02-10 00:00:00,HF00000FAK
1.008,2015-02-11 00:00:00,HF00000FAK
1.0082,2015-02-12 00:00:00,HF00000FAK
1.0058,2015-02-13 00:00:00,HF00000FAK
1.0132,2015-02-16 00:00:00,HF00000FAK
1.0146,2015-02-17 00:00:00,HF00000FAK
1.0105,2015-02-25 00:00:00,HF00000FAK
1.02,2015-02-27 00:00:00,HF00000FAK
1.0259,2015-03-06 00:00:00,HF00000FAK
1.0339,2015-03-13 00:00:00,HF00000FAK
1.0492,2015-03-20 00:00:00,HF00000FAK
1.0628,2015-03-27 00:00:00,HF00000FAK
1.0837,2015-04-03 00:00:00,HF00000FAK
1.0919,2015-04-04 00:00:00,HF00000FAK
1.0919,2015-04-07 00:00:00,HF00000FAK
1.0905,2015-04-08 00:00:00,HF00000FAK
1.0884,2015-04-09 00:00:00,HF00000FAK
1.0933,2015-04-10 00:00:00,HF00000FAK
1.0938,2015-04-13 00:00:00,HF00000FAK
1.0987,2015-04-14 00:00:00,HF00000FAK
1.0901,2015-04-15 00:00:00,HF00000FAK
1.0943,2015-04-16 00:00:00,HF00000FAK
1.0962,2015-04-17 00:00:00,HF00000FAK
1.0864,2015-04-20 00:00:00,HF00000FAK
1.0956,2015-04-21 00:00:00,HF00000FAK
1.1023,2015-04-22 00:00:00,HF00000FAK
1.1044,2015-04-23 00:00:00,HF00000FAK
1.1063,2015-04-24 00:00:00,HF00000FAK
1.1073,2015-04-27 00:00:00,HF00000FAK
1.1014,2015-04-28 00:00:00,HF00000FAK
1.1045,2015-04-29 00:00:00,HF00000FAK
1.11,2015-04-30 00:00:00,HF00000FAK
1.1152,2015-05-04 00:00:00,HF00000FAK
1.1074,2015-05-05 00:00:00,HF00000FAK
1.1042,2015-05-06 00:00:00,HF00000FAK
1.1009,2015-05-07 00:00:00,HF00000FAK
1.1143,2015-05-08 00:00:00,HF00000FAK
1.1258,2015-05-11 00:00:00,HF00000FAK
1.1289,2015-05-12 00:00:00,HF00000FAK
1.128,2015-05-13 00:00:00,HF00000FAK
1.1214,2015-05-14 00:00:00,HF00000FAK
1.1252,2015-05-15 00:00:00,HF00000FAK
1.1315,2015-05-18 00:00:00,HF00000FAK
1.1452,2015-05-19 00:00:00,HF00000FAK
1.1604,2015-05-20 00:00:00,HF00000FAK
1.173,2015-05-21 00:00:00,HF00000FAK
1.1745,2015-05-22 00:00:00,HF00000FAK
1.1847,2015-05-25 00:00:00,HF00000FAK
1.202,2015-05-26 00:00:00,HF00000FAK
1.2105,2015-05-27 00:00:00,HF00000FAK
1.1864,2015-05-28 00:00:00,HF00000FAK
1.1914,2015-05-29 00:00:00,HF00000FAK
1.2051,2015-06-01 00:00:00,HF00000FAK
1.2177,2015-06-02 00:00:00,HF00000FAK
1.2156,2015-06-03 00:00:00,HF00000FAK
1.2095,2015-06-04 00:00:00,HF00000FAK
1.2118,2015-06-05 00:00:00,HF00000FAK
1.2154,2015-06-08 00:00:00,HF00000FAK
1.21,2015-06-09 00:00:00,HF00000FAK
1.2168,2015-06-10 00:00:00,HF00000FAK
1.2228,2015-06-11 00:00:00,HF00000FAK
1.2308,2015-06-12 00:00:00,HF00000FAK
1.2205,2015-06-15 00:00:00,HF00000FAK
1.2069,2015-06-16 00:00:00,HF00000FAK
1.2121,2015-06-17 00:00:00,HF00000FAK
1.2018,2015-06-18 00:00:00,HF00000FAK
1.1824,2015-06-19 00:00:00,HF00000FAK
1.1879,2015-06-23 00:00:00,HF00000FAK
1.1982,2015-06-24 00:00:00,HF00000FAK
1.1892,2015-06-25 00:00:00,HF00000FAK
1.1737,2015-06-26 00:00:00,HF00000FAK
1.1721,2015-06-29 00:00:00,HF00000FAK
1.1702,2015-06-30 00:00:00,HF00000FAK
1.1516,2015-07-02 00:00:00,HF00000FAK
1.1422,2015-07-03 00:00:00,HF00000FAK
1.1374,2015-07-06 00:00:00,HF00000FAK
1.1323,2015-07-07 00:00:00,HF00000FAK
1.1283,2015-07-08 00:00:00,HF00000FAK
1.1276,2015-07-09 00:00:00,HF00000FAK
1.1323,2015-07-10 00:00:00,HF00000FAK
1.1383,2015-07-13 00:00:00,HF00000FAK
1.1353,2015-07-15 00:00:00,HF00000FAK
1.1345,2015-07-16 00:00:00,HF00000FAK
1.1352,2015-07-17 00:00:00,HF00000FAK
1.1357,2015-07-20 00:00:00,HF00000FAK
1.1357,2015-07-21 00:00:00,HF00000FAK
1.136,2015-07-22 00:00:00,HF00000FAK
1.1365,2015-07-23 00:00:00,HF00000FAK
1.1363,2015-07-24 00:00:00,HF00000FAK
1.1351,2015-07-27 00:00:00,HF00000FAK
1.1349,2015-07-28 00:00:00,HF00000FAK
1.1355,2015-07-29 00:00:00,HF00000FAK
1.1351,2015-07-30 00:00:00,HF00000FAK
1.1354,2015-07-31 00:00:00,HF00000FAK
1.1357,2015-08-03 00:00:00,HF00000FAK
