value,date,id
1.0,2015-01-16 00:00:00,HF00000FAN
1.0,2015-01-23 00:00:00,HF00000FAN
1.0,2015-01-30 00:00:00,HF00000FAN
1.01,2015-02-13 00:00:00,HF00000FAN
1.03,2015-02-27 00:00:00,HF00000FAN
1.06,2015-03-20 00:00:00,HF00000FAN
1.06,2015-03-27 00:00:00,HF00000FAN
1.06,2015-03-31 00:00:00,HF00000FAN
1.07,2015-04-03 00:00:00,HF00000FAN
1.07,2015-04-10 00:00:00,HF00000FAN
1.08,2015-04-17 00:00:00,HF00000FAN
1.1,2015-04-24 00:00:00,HF00000FAN
1.11,2015-04-30 00:00:00,HF00000FAN
1.07,2015-05-08 00:00:00,HF00000FAN
1.13,2015-05-15 00:00:00,HF00000FAN
1.22,2015-05-22 00:00:00,HF00000FAN
1.06,2015-05-29 00:00:00,HF00000FAN
0.94,2015-07-03 00:00:00,HF00000FAN
