value,date,id
1.0,2015-03-04 00:00:00,HF00000FDC
0.9995,2015-03-06 00:00:00,HF00000FDC
1.0014,2015-03-13 00:00:00,HF00000FDC
1.0033,2015-03-20 00:00:00,HF00000FDC
1.0053,2015-03-27 00:00:00,HF00000FDC
1.0072,2015-04-03 00:00:00,HF00000FDC
1.0092,2015-04-10 00:00:00,HF00000FDC
1.0111,2015-04-17 00:00:00,HF00000FDC
1.013,2015-04-24 00:00:00,HF00000FDC
1.0147,2015-04-30 00:00:00,HF00000FDC
1.0168,2015-05-08 00:00:00,HF00000FDC
1.0177,2015-05-15 00:00:00,HF00000FDC
1.0198,2015-05-22 00:00:00,HF00000FDC
1.0212,2015-05-29 00:00:00,HF00000FDC
1.0216,2015-06-05 00:00:00,HF00000FDC
1.0204,2015-06-12 00:00:00,HF00000FDC
1.0196,2015-06-19 00:00:00,HF00000FDC
1.0274,2015-06-26 00:00:00,HF00000FDC
1.0275,2015-07-03 00:00:00,HF00000FDC
1.0322,2015-07-10 00:00:00,HF00000FDC
1.0355,2015-07-17 00:00:00,HF00000FDC
1.0367,2015-07-24 00:00:00,HF00000FDC
