value,date,id
1.0,2015-02-10 00:00:00,HF00000FDL
0.9992,2015-03-09 00:00:00,HF00000FDL
0.9992,2015-03-13 00:00:00,HF00000FDL
1.1327,2015-03-16 00:00:00,HF00000FDL
1.1487,2015-03-17 00:00:00,HF00000FDL
1.3584,2015-03-20 00:00:00,HF00000FDL
1.3511,2015-03-23 00:00:00,HF00000FDL
1.4008,2015-03-25 00:00:00,HF00000FDL
1.438,2015-03-26 00:00:00,HF00000FDL
1.4207,2015-03-27 00:00:00,HF00000FDL
1.447,2015-04-03 00:00:00,HF00000FDL
1.5127,2015-04-10 00:00:00,HF00000FDL
1.5729,2015-04-17 00:00:00,HF00000FDL
1.5738,2015-04-24 00:00:00,HF00000FDL
1.4877,2015-05-08 00:00:00,HF00000FDL
1.4875,2015-05-15 00:00:00,HF00000FDL
1.4877,2015-05-22 00:00:00,HF00000FDL
1.4329,2015-05-29 00:00:00,HF00000FDL
1.552,2015-06-05 00:00:00,HF00000FDL
1.5687,2015-06-12 00:00:00,HF00000FDL
1.5132,2015-06-19 00:00:00,HF00000FDL
1.4633,2015-06-26 00:00:00,HF00000FDL
1.4207,2015-07-03 00:00:00,HF00000FDL
1.4223,2015-07-10 00:00:00,HF00000FDL
1.422,2015-07-17 00:00:00,HF00000FDL
1.4218,2015-07-24 00:00:00,HF00000FDL
1.4216,2015-07-31 00:00:00,HF00000FDL
1.4213,2015-08-07 00:00:00,HF00000FDL
1.4211,2015-08-14 00:00:00,HF00000FDL
