value,date,id
1.0,2014-11-07 00:00:00,HF00000FES
0.961,2014-11-14 00:00:00,HF00000FES
0.989,2014-11-21 00:00:00,HF00000FES
1.011,2014-11-28 00:00:00,HF00000FES
0.977,2014-12-05 00:00:00,HF00000FES
0.927,2014-12-12 00:00:00,HF00000FES
0.99,2014-12-19 00:00:00,HF00000FES
0.957,2014-12-26 00:00:00,HF00000FES
0.999,2015-01-02 00:00:00,HF00000FES
0.94,2015-01-09 00:00:00,HF00000FES
0.979,2015-01-16 00:00:00,HF00000FES
1.029,2015-01-23 00:00:00,HF00000FES
0.988,2015-01-30 00:00:00,HF00000FES
1.063,2015-02-06 00:00:00,HF00000FES
1.154,2015-02-13 00:00:00,HF00000FES
1.299,2015-02-20 00:00:00,HF00000FES
1.336,2015-02-27 00:00:00,HF00000FES
1.28,2015-03-06 00:00:00,HF00000FES
1.309,2015-03-13 00:00:00,HF00000FES
1.41,2015-03-20 00:00:00,HF00000FES
1.507,2015-03-27 00:00:00,HF00000FES
1.613,2015-04-03 00:00:00,HF00000FES
1.658,2015-04-10 00:00:00,HF00000FES
1.462,2015-04-17 00:00:00,HF00000FES
1.567,2015-04-24 00:00:00,HF00000FES
1.643,2015-04-30 00:00:00,HF00000FES
1.715,2015-05-08 00:00:00,HF00000FES
2.109,2015-05-15 00:00:00,HF00000FES
2.455,2015-05-22 00:00:00,HF00000FES
2.776,2015-05-29 00:00:00,HF00000FES
2.909,2015-06-05 00:00:00,HF00000FES
2.939,2015-06-12 00:00:00,HF00000FES
2.721,2015-06-19 00:00:00,HF00000FES
2.585,2015-06-26 00:00:00,HF00000FES
2.492,2015-07-03 00:00:00,HF00000FES
2.4014,2015-07-10 00:00:00,HF00000FES
2.459,2015-07-17 00:00:00,HF00000FES
2.581,2015-07-24 00:00:00,HF00000FES
2.435,2015-07-31 00:00:00,HF00000FES
2.432,2015-08-07 00:00:00,HF00000FES
