value,date,id
1.0,2015-01-19 00:00:00,HF00000FFL
1.0077,2015-02-27 00:00:00,HF00000FFL
1.0091,2015-03-06 00:00:00,HF00000FFL
1.0105,2015-03-13 00:00:00,HF00000FFL
1.0118,2015-03-20 00:00:00,HF00000FFL
1.0133,2015-03-27 00:00:00,HF00000FFL
1.0147,2015-04-03 00:00:00,HF00000FFL
1.0161,2015-04-10 00:00:00,HF00000FFL
1.0174,2015-04-17 00:00:00,HF00000FFL
1.0188,2015-04-24 00:00:00,HF00000FFL
1.02,2015-04-30 00:00:00,HF00000FFL
1.0216,2015-05-08 00:00:00,HF00000FFL
1.023,2015-05-15 00:00:00,HF00000FFL
1.0243,2015-05-22 00:00:00,HF00000FFL
1.0257,2015-05-29 00:00:00,HF00000FFL
1.0285,2015-06-12 00:00:00,HF00000FFL
1.0299,2015-06-19 00:00:00,HF00000FFL
1.0312,2015-06-26 00:00:00,HF00000FFL
1.0326,2015-07-03 00:00:00,HF00000FFL
1.034,2015-07-10 00:00:00,HF00000FFL
1.0354,2015-07-17 00:00:00,HF00000FFL
1.0368,2015-07-24 00:00:00,HF00000FFL
1.0381,2015-07-31 00:00:00,HF00000FFL
