value,date,id
1.0,2014-12-03 00:00:00,HF00000FFS
1.0166,2015-02-27 00:00:00,HF00000FFS
1.0179,2015-03-06 00:00:00,HF00000FFS
1.0193,2015-03-13 00:00:00,HF00000FFS
1.0206,2015-03-20 00:00:00,HF00000FFS
1.0219,2015-03-27 00:00:00,HF00000FFS
1.0233,2015-04-03 00:00:00,HF00000FFS
1.0246,2015-04-10 00:00:00,HF00000FFS
1.026,2015-04-17 00:00:00,HF00000FFS
1.0273,2015-04-24 00:00:00,HF00000FFS
1.0285,2015-04-30 00:00:00,HF00000FFS
1.03,2015-05-08 00:00:00,HF00000FFS
1.0313,2015-05-15 00:00:00,HF00000FFS
1.0327,2015-05-22 00:00:00,HF00000FFS
1.034,2015-05-29 00:00:00,HF00000FFS
1.0367,2015-06-12 00:00:00,HF00000FFS
1.038,2015-06-19 00:00:00,HF00000FFS
1.0394,2015-06-26 00:00:00,HF00000FFS
1.0407,2015-07-03 00:00:00,HF00000FFS
1.0421,2015-07-10 00:00:00,HF00000FFS
1.0434,2015-07-17 00:00:00,HF00000FFS
1.0448,2015-07-24 00:00:00,HF00000FFS
1.0461,2015-07-31 00:00:00,HF00000FFS
