value,date,id
1.0,2015-03-11 00:00:00,HF00000FJM
1.0,2015-03-13 00:00:00,HF00000FJM
1.0424,2015-03-20 00:00:00,HF00000FJM
1.0472,2015-03-27 00:00:00,HF00000FJM
1.0704,2015-03-31 00:00:00,HF00000FJM
1.0745,2015-04-03 00:00:00,HF00000FJM
1.1276,2015-04-10 00:00:00,HF00000FJM
1.1468,2015-04-15 00:00:00,HF00000FJM
1.2009,2015-04-17 00:00:00,HF00000FJM
1.1857,2015-04-24 00:00:00,HF00000FJM
1.2103,2015-04-30 00:00:00,HF00000FJM
1.1407,2015-05-08 00:00:00,HF00000FJM
1.1258,2015-05-15 00:00:00,HF00000FJM
1.173,2015-05-22 00:00:00,HF00000FJM
1.1288,2015-05-29 00:00:00,HF00000FJM
1.2141,2015-06-05 00:00:00,HF00000FJM
1.24,2015-06-12 00:00:00,HF00000FJM
1.2203,2015-06-15 00:00:00,HF00000FJM
1.1415,2015-06-19 00:00:00,HF00000FJM
1.1392,2015-06-26 00:00:00,HF00000FJM
1.2112,2015-06-30 00:00:00,HF00000FJM
1.1288,2015-07-03 00:00:00,HF00000FJM
1.2227,2015-07-10 00:00:00,HF00000FJM
1.1781,2015-07-15 00:00:00,HF00000FJM
1.1859,2015-07-17 00:00:00,HF00000FJM
1.1763,2015-07-24 00:00:00,HF00000FJM
1.1114,2015-07-31 00:00:00,HF00000FJM
1.1286,2015-08-07 00:00:00,HF00000FJM
