value,date,id
1.0,2015-02-17 00:00:00,HF00000FKD
1.0,2015-03-06 00:00:00,HF00000FKD
1.005,2015-03-13 00:00:00,HF00000FKD
1.051,2015-03-20 00:00:00,HF00000FKD
1.067,2015-03-26 00:00:00,HF00000FKD
1.083,2015-03-27 00:00:00,HF00000FKD
1.171,2015-04-03 00:00:00,HF00000FKD
1.217,2015-04-10 00:00:00,HF00000FKD
1.236,2015-04-17 00:00:00,HF00000FKD
1.26,2015-04-24 00:00:00,HF00000FKD
1.249,2015-04-30 00:00:00,HF00000FKD
1.188,2015-05-07 00:00:00,HF00000FKD
1.262,2015-05-15 00:00:00,HF00000FKD
1.319,2015-05-21 00:00:00,HF00000FKD
1.33,2015-05-22 00:00:00,HF00000FKD
1.359,2015-05-29 00:00:00,HF00000FKD
1.414,2015-06-05 00:00:00,HF00000FKD
1.442,2015-06-12 00:00:00,HF00000FKD
1.08,2015-06-18 00:00:00,HF00000FKD
1.042,2015-06-19 00:00:00,HF00000FKD
1.027,2015-06-26 00:00:00,HF00000FKD
1.003,2015-07-03 00:00:00,HF00000FKD
1.014,2015-07-10 00:00:00,HF00000FKD
1.048,2015-07-17 00:00:00,HF00000FKD
1.096,2015-07-24 00:00:00,HF00000FKD
1.047,2015-07-31 00:00:00,HF00000FKD
1.066,2015-08-07 00:00:00,HF00000FKD
