value,date,id
1.0,2015-01-30 00:00:00,HF00000FNK
1.0,2015-02-16 00:00:00,HF00000FNK
1.0001,2015-02-17 00:00:00,HF00000FNK
0.9998,2015-02-27 00:00:00,HF00000FNK
1.0,2015-03-06 00:00:00,HF00000FNK
1.0333,2015-03-13 00:00:00,HF00000FNK
1.0826,2015-03-20 00:00:00,HF00000FNK
1.1064,2015-03-27 00:00:00,HF00000FNK
1.165,2015-04-03 00:00:00,HF00000FNK
1.167,2015-04-10 00:00:00,HF00000FNK
1.1959,2015-04-16 00:00:00,HF00000FNK
1.2332,2015-04-23 00:00:00,HF00000FNK
1.2221,2015-04-30 00:00:00,HF00000FNK
1.2257,2015-05-08 00:00:00,HF00000FNK
1.2947,2015-05-15 00:00:00,HF00000FNK
1.2706,2015-05-22 00:00:00,HF00000FNK
1.2834,2015-05-29 00:00:00,HF00000FNK
1.3939,2015-06-05 00:00:00,HF00000FNK
1.4218,2015-06-12 00:00:00,HF00000FNK
1.2812,2015-06-19 00:00:00,HF00000FNK
1.2087,2015-06-26 00:00:00,HF00000FNK
0.8654,2015-07-03 00:00:00,HF00000FNK
0.8315,2015-07-10 00:00:00,HF00000FNK
0.9317,2015-07-17 00:00:00,HF00000FNK
1.0431,2015-07-24 00:00:00,HF00000FNK
0.8711,2015-07-31 00:00:00,HF00000FNK
0.9253,2015-08-07 00:00:00,HF00000FNK
1.0161,2015-08-14 00:00:00,HF00000FNK
