value,date,id
1.0,2015-01-29 00:00:00,HF00000FNW
0.999,2015-02-06 00:00:00,HF00000FNW
1.005,2015-02-13 00:00:00,HF00000FNW
1.016,2015-02-17 00:00:00,HF00000FNW
1.013,2015-02-25 00:00:00,HF00000FNW
1.016,2015-03-06 00:00:00,HF00000FNW
1.049,2015-03-10 00:00:00,HF00000FNW
1.021,2015-03-13 00:00:00,HF00000FNW
1.032,2015-03-20 00:00:00,HF00000FNW
1.048,2015-03-27 00:00:00,HF00000FNW
1.034,2015-04-03 00:00:00,HF00000FNW
1.057,2015-04-17 00:00:00,HF00000FNW
1.073,2015-04-24 00:00:00,HF00000FNW
1.07,2015-04-30 00:00:00,HF00000FNW
1.08,2015-05-08 00:00:00,HF00000FNW
1.082,2015-05-14 00:00:00,HF00000FNW
1.091,2015-05-15 00:00:00,HF00000FNW
1.079,2015-05-22 00:00:00,HF00000FNW
1.055,2015-05-25 00:00:00,HF00000FNW
1.095,2015-05-29 00:00:00,HF00000FNW
1.078,2015-06-04 00:00:00,HF00000FNW
1.073,2015-06-09 00:00:00,HF00000FNW
1.081,2015-06-12 00:00:00,HF00000FNW
1.066,2015-06-15 00:00:00,HF00000FNW
1.05,2015-06-16 00:00:00,HF00000FNW
1.107,2015-06-30 00:00:00,HF00000FNW
1.225,2015-07-10 00:00:00,HF00000FNW
1.312,2015-07-20 00:00:00,HF00000FNW
1.338,2015-07-31 00:00:00,HF00000FNW
1.351,2015-08-07 00:00:00,HF00000FNW
1.362,2015-08-12 00:00:00,HF00000FNW
