value,date,id
1.0,2014-12-02 00:00:00,HF00000FRC
1.005,2014-12-12 00:00:00,HF00000FRC
1.001,2014-12-19 00:00:00,HF00000FRC
1.014,2014-12-26 00:00:00,HF00000FRC
1.01,2014-12-31 00:00:00,HF00000FRC
1.004,2015-01-09 00:00:00,HF00000FRC
1.006,2015-01-16 00:00:00,HF00000FRC
1.007,2015-01-23 00:00:00,HF00000FRC
1.007,2015-01-30 00:00:00,HF00000FRC
1.008,2015-02-06 00:00:00,HF00000FRC
1.013,2015-02-13 00:00:00,HF00000FRC
1.016,2015-02-17 00:00:00,HF00000FRC
1.021,2015-02-27 00:00:00,HF00000FRC
1.033,2015-03-06 00:00:00,HF00000FRC
1.042,2015-03-13 00:00:00,HF00000FRC
1.063,2015-03-20 00:00:00,HF00000FRC
1.075,2015-03-27 00:00:00,HF00000FRC
1.092,2015-04-03 00:00:00,HF00000FRC
1.098,2015-04-10 00:00:00,HF00000FRC
1.096,2015-04-17 00:00:00,HF00000FRC
1.114,2015-04-24 00:00:00,HF00000FRC
1.115,2015-04-30 00:00:00,HF00000FRC
1.103,2015-05-08 00:00:00,HF00000FRC
1.104,2015-05-15 00:00:00,HF00000FRC
1.11,2015-05-22 00:00:00,HF00000FRC
1.103,2015-05-29 00:00:00,HF00000FRC
1.148,2015-06-05 00:00:00,HF00000FRC
1.15,2015-06-12 00:00:00,HF00000FRC
1.148,2015-06-19 00:00:00,HF00000FRC
1.166,2015-06-26 00:00:00,HF00000FRC
1.163,2015-07-03 00:00:00,HF00000FRC
1.195,2015-07-24 00:00:00,HF00000FRC
1.302,2015-08-07 00:00:00,HF00000FRC
