value,date,id
1.0,2015-01-30 00:00:00,HF00000FRW
1.0007,2015-02-06 00:00:00,HF00000FRW
1.0112,2015-02-13 00:00:00,HF00000FRW
1.0252,2015-02-27 00:00:00,HF00000FRW
1.0288,2015-03-05 00:00:00,HF00000FRW
1.0295,2015-03-06 00:00:00,HF00000FRW
1.0619,2015-03-13 00:00:00,HF00000FRW
1.1207,2015-03-20 00:00:00,HF00000FRW
1.2047,2015-03-27 00:00:00,HF00000FRW
1.286,2015-04-03 00:00:00,HF00000FRW
1.2493,2015-04-07 00:00:00,HF00000FRW
1.2428,2015-04-10 00:00:00,HF00000FRW
1.3064,2015-04-17 00:00:00,HF00000FRW
1.3858,2015-04-24 00:00:00,HF00000FRW
1.352,2015-04-30 00:00:00,HF00000FRW
1.2804,2015-05-08 00:00:00,HF00000FRW
1.3026,2015-05-15 00:00:00,HF00000FRW
1.4189,2015-05-22 00:00:00,HF00000FRW
1.3903,2015-05-29 00:00:00,HF00000FRW
1.491,2015-06-05 00:00:00,HF00000FRW
1.56,2015-06-12 00:00:00,HF00000FRW
1.3872,2015-06-19 00:00:00,HF00000FRW
1.334,2015-06-26 00:00:00,HF00000FRW
1.2143,2015-07-10 00:00:00,HF00000FRW
1.2327,2015-07-17 00:00:00,HF00000FRW
1.239,2015-07-24 00:00:00,HF00000FRW
1.1653,2015-07-31 00:00:00,HF00000FRW
1.1748,2015-08-05 00:00:00,HF00000FRW
1.1796,2015-08-07 00:00:00,HF00000FRW
