value,date,id
1.0,2015-03-05 00:00:00,HF00000FT2
1.0129,2015-03-13 00:00:00,HF00000FT2
1.0729,2015-03-20 00:00:00,HF00000FT2
1.0752,2015-03-23 00:00:00,HF00000FT2
1.0832,2015-03-27 00:00:00,HF00000FT2
1.0954,2015-03-31 00:00:00,HF00000FT2
1.2059,2015-04-03 00:00:00,HF00000FT2
1.2165,2015-04-10 00:00:00,HF00000FT2
1.1987,2015-04-17 00:00:00,HF00000FT2
1.2671,2015-04-23 00:00:00,HF00000FT2
1.2637,2015-04-24 00:00:00,HF00000FT2
1.2944,2015-04-30 00:00:00,HF00000FT2
1.2812,2015-05-04 00:00:00,HF00000FT2
1.314,2015-05-08 00:00:00,HF00000FT2
1.4746,2015-05-15 00:00:00,HF00000FT2
1.6678,2015-05-22 00:00:00,HF00000FT2
1.7868,2015-05-29 00:00:00,HF00000FT2
1.8864,2015-06-05 00:00:00,HF00000FT2
1.6676,2015-06-19 00:00:00,HF00000FT2
1.4238,2015-06-26 00:00:00,HF00000FT2
1.3853,2015-06-30 00:00:00,HF00000FT2
1.254,2015-07-03 00:00:00,HF00000FT2
1.2538,2015-07-10 00:00:00,HF00000FT2
1.262,2015-07-17 00:00:00,HF00000FT2
1.2184,2015-07-24 00:00:00,HF00000FT2
1.2063,2015-07-31 00:00:00,HF00000FT2
1.2065,2015-08-07 00:00:00,HF00000FT2
