value,date,id
1.0,2014-12-31 00:00:00,HF00000G4E
1.0117,2015-02-27 00:00:00,HF00000G4E
1.013,2015-03-06 00:00:00,HF00000G4E
1.0144,2015-03-13 00:00:00,HF00000G4E
1.0158,2015-03-20 00:00:00,HF00000G4E
1.0171,2015-03-27 00:00:00,HF00000G4E
1.0185,2015-04-03 00:00:00,HF00000G4E
1.0198,2015-04-10 00:00:00,HF00000G4E
1.0212,2015-04-17 00:00:00,HF00000G4E
1.0226,2015-04-24 00:00:00,HF00000G4E
1.0237,2015-04-30 00:00:00,HF00000G4E
1.0253,2015-05-08 00:00:00,HF00000G4E
1.0266,2015-05-15 00:00:00,HF00000G4E
1.028,2015-05-22 00:00:00,HF00000G4E
1.0294,2015-05-29 00:00:00,HF00000G4E
1.0307,2015-06-05 00:00:00,HF00000G4E
1.0321,2015-06-12 00:00:00,HF00000G4E
1.0335,2015-06-19 00:00:00,HF00000G4E
1.0348,2015-06-26 00:00:00,HF00000G4E
1.0362,2015-07-03 00:00:00,HF00000G4E
1.0007,2015-07-10 00:00:00,HF00000G4E
1.002,2015-07-17 00:00:00,HF00000G4E
1.0033,2015-07-24 00:00:00,HF00000G4E
1.0045,2015-07-31 00:00:00,HF00000G4E
