value,date,id
1.0,2014-10-28 00:00:00,HF00000G5Z
1.002,2014-11-06 00:00:00,HF00000G5Z
1.008,2014-11-13 00:00:00,HF00000G5Z
1.007,2014-11-20 00:00:00,HF00000G5Z
1.024,2014-11-27 00:00:00,HF00000G5Z
1.036,2014-12-04 00:00:00,HF00000G5Z
1.071,2014-12-11 00:00:00,HF00000G5Z
1.07,2014-12-18 00:00:00,HF00000G5Z
1.032,2014-12-25 00:00:00,HF00000G5Z
1.108,2014-12-31 00:00:00,HF00000G5Z
1.079,2015-01-08 00:00:00,HF00000G5Z
1.082,2015-01-15 00:00:00,HF00000G5Z
1.07,2015-01-22 00:00:00,HF00000G5Z
1.067,2015-01-29 00:00:00,HF00000G5Z
1.083,2015-02-05 00:00:00,HF00000G5Z
1.069,2015-02-12 00:00:00,HF00000G5Z
1.089,2015-02-26 00:00:00,HF00000G5Z
1.136,2015-03-05 00:00:00,HF00000G5Z
1.129,2015-03-12 00:00:00,HF00000G5Z
1.274,2015-03-19 00:00:00,HF00000G5Z
1.376,2015-03-26 00:00:00,HF00000G5Z
1.576,2015-04-02 00:00:00,HF00000G5Z
1.629,2015-04-09 00:00:00,HF00000G5Z
1.631,2015-04-16 00:00:00,HF00000G5Z
1.725,2015-04-23 00:00:00,HF00000G5Z
1.732,2015-04-30 00:00:00,HF00000G5Z
1.74,2015-05-07 00:00:00,HF00000G5Z
1.966,2015-05-14 00:00:00,HF00000G5Z
2.199,2015-05-21 00:00:00,HF00000G5Z
2.21,2015-05-28 00:00:00,HF00000G5Z
2.42,2015-06-04 00:00:00,HF00000G5Z
2.519,2015-06-12 00:00:00,HF00000G5Z
2.081,2015-06-19 00:00:00,HF00000G5Z
2.039,2015-06-26 00:00:00,HF00000G5Z
1.893,2015-07-03 00:00:00,HF00000G5Z
1.811,2015-07-10 00:00:00,HF00000G5Z
1.806,2015-07-17 00:00:00,HF00000G5Z
1.801,2015-07-24 00:00:00,HF00000G5Z
1.757,2015-07-31 00:00:00,HF00000G5Z
1.752,2015-08-07 00:00:00,HF00000G5Z
