value,date,id
1.0,2009-01-15 00:00:00,HF00000G6K
0.9953,2009-01-30 00:00:00,HF00000G6K
0.986,2009-02-27 00:00:00,HF00000G6K
0.9509,2009-03-31 00:00:00,HF00000G6K
0.9328,2009-04-30 00:00:00,HF00000G6K
0.9585,2009-05-29 00:00:00,HF00000G6K
0.9717,2009-06-30 00:00:00,HF00000G6K
0.9614,2009-07-31 00:00:00,HF00000G6K
0.9726,2009-08-31 00:00:00,HF00000G6K
0.9762,2009-09-30 00:00:00,HF00000G6K
0.9886,2009-10-30 00:00:00,HF00000G6K
1.014,2009-11-30 00:00:00,HF00000G6K
1.0179,2009-12-31 00:00:00,HF00000G6K
1.0184,2010-01-29 00:00:00,HF00000G6K
1.0408,2010-02-26 00:00:00,HF00000G6K
1.0547,2010-03-31 00:00:00,HF00000G6K
1.0569,2010-04-30 00:00:00,HF00000G6K
1.1097,2010-05-31 00:00:00,HF00000G6K
1.1061,2010-06-30 00:00:00,HF00000G6K
1.1078,2010-07-30 00:00:00,HF00000G6K
1.116,2010-08-31 00:00:00,HF00000G6K
1.1543,2010-09-30 00:00:00,HF00000G6K
1.1642,2010-10-29 00:00:00,HF00000G6K
1.1688,2010-11-30 00:00:00,HF00000G6K
1.1813,2010-12-31 00:00:00,HF00000G6K
1.1955,2011-01-31 00:00:00,HF00000G6K
1.1854,2011-02-28 00:00:00,HF00000G6K
1.1873,2011-03-31 00:00:00,HF00000G6K
1.1979,2011-04-29 00:00:00,HF00000G6K
1.1894,2011-05-31 00:00:00,HF00000G6K
1.2085,2011-06-30 00:00:00,HF00000G6K
1.2342,2011-07-29 00:00:00,HF00000G6K
1.1867,2011-08-31 00:00:00,HF00000G6K
1.156,2011-09-30 00:00:00,HF00000G6K
1.1528,2011-10-31 00:00:00,HF00000G6K
1.14,2011-11-30 00:00:00,HF00000G6K
1.182,2011-12-30 00:00:00,HF00000G6K
1.1849,2012-01-31 00:00:00,HF00000G6K
1.1848,2012-02-29 00:00:00,HF00000G6K
1.1988,2012-03-30 00:00:00,HF00000G6K
1.2222,2012-04-30 00:00:00,HF00000G6K
1.2366,2012-05-31 00:00:00,HF00000G6K
1.2391,2012-06-29 00:00:00,HF00000G6K
1.2709,2012-07-31 00:00:00,HF00000G6K
1.2754,2012-08-31 00:00:00,HF00000G6K
1.2749,2012-09-28 00:00:00,HF00000G6K
1.2703,2012-10-31 00:00:00,HF00000G6K
1.2903,2012-11-30 00:00:00,HF00000G6K
1.2923,2012-12-31 00:00:00,HF00000G6K
1.308,2013-01-31 00:00:00,HF00000G6K
1.3871,2013-02-28 00:00:00,HF00000G6K
1.4733,2013-03-28 00:00:00,HF00000G6K
1.5247,2013-04-30 00:00:00,HF00000G6K
1.563,2013-05-31 00:00:00,HF00000G6K
1.6326,2013-06-28 00:00:00,HF00000G6K
1.6456,2013-07-31 00:00:00,HF00000G6K
1.6435,2013-08-30 00:00:00,HF00000G6K
1.6407,2013-09-30 00:00:00,HF00000G6K
1.6955,2013-10-31 00:00:00,HF00000G6K
1.705,2013-11-30 00:00:00,HF00000G6K
1.7159,2013-12-31 00:00:00,HF00000G6K
1.7114,2014-01-30 00:00:00,HF00000G6K
1.7405,2014-02-28 00:00:00,HF00000G6K
1.7606,2014-03-31 00:00:00,HF00000G6K
1.8352,2014-04-30 00:00:00,HF00000G6K
1.8357,2014-05-30 00:00:00,HF00000G6K
1.8523,2014-06-30 00:00:00,HF00000G6K
1.8589,2014-07-31 00:00:00,HF00000G6K
1.869,2014-08-29 00:00:00,HF00000G6K
1.8761,2014-09-30 00:00:00,HF00000G6K
1.8911,2014-10-31 00:00:00,HF00000G6K
1.8968,2014-11-28 00:00:00,HF00000G6K
1.9567,2014-12-31 00:00:00,HF00000G6K
1.9737,2015-01-30 00:00:00,HF00000G6K
2.0432,2015-02-28 00:00:00,HF00000G6K
2.22633,2015-03-31 00:00:00,HF00000G6K
2.424772,2015-04-30 00:00:00,HF00000G6K
2.79437,2015-05-29 00:00:00,HF00000G6K
2.911571,2015-06-30 00:00:00,HF00000G6K
