value,date,id
1.0,2015-03-09 00:00:00,HF00000GA4
1.093,2015-04-03 00:00:00,HF00000GA4
1.149,2015-04-17 00:00:00,HF00000GA4
1.111,2015-04-24 00:00:00,HF00000GA4
1.162,2015-04-30 00:00:00,HF00000GA4
1.139,2015-05-08 00:00:00,HF00000GA4
1.133,2015-05-15 00:00:00,HF00000GA4
1.332,2015-05-22 00:00:00,HF00000GA4
1.374,2015-05-29 00:00:00,HF00000GA4
1.422,2015-06-12 00:00:00,HF00000GA4
1.264,2015-06-19 00:00:00,HF00000GA4
1.224,2015-06-26 00:00:00,HF00000GA4
1.106,2015-07-03 00:00:00,HF00000GA4
0.989,2015-07-10 00:00:00,HF00000GA4
1.018,2015-07-17 00:00:00,HF00000GA4
1.015,2015-07-24 00:00:00,HF00000GA4
0.989,2015-07-31 00:00:00,HF00000GA4
1.0,2015-08-07 00:00:00,HF00000GA4
