value,date,id
1.0,2015-03-06 00:00:00,HF00000GF8
1.0,2015-03-19 00:00:00,HF00000GF8
1.082,2015-05-06 00:00:00,HF00000GF8
1.0,2015-07-06 00:00:00,HF00000GF8
0.949,2015-07-09 00:00:00,HF00000GF8
0.951,2015-07-21 00:00:00,HF00000GF8
0.95,2015-07-27 00:00:00,HF00000GF8
0.949,2015-07-28 00:00:00,HF00000GF8
0.95,2015-07-29 00:00:00,HF00000GF8
0.949,2015-07-30 00:00:00,HF00000GF8
0.949,2015-07-31 00:00:00,HF00000GF8
0.948,2015-08-03 00:00:00,HF00000GF8
0.95,2015-08-04 00:00:00,HF00000GF8
0.95,2015-08-05 00:00:00,HF00000GF8
0.952,2015-08-07 00:00:00,HF00000GF8
0.954,2015-08-10 00:00:00,HF00000GF8
0.954,2015-08-11 00:00:00,HF00000GF8
0.953,2015-08-12 00:00:00,HF00000GF8
0.954,2015-08-13 00:00:00,HF00000GF8
