value,date,id
1.0,2015-04-13 00:00:00,HF00000GFR
0.9953,2015-04-24 00:00:00,HF00000GFR
0.9984,2015-04-30 00:00:00,HF00000GFR
1.0027,2015-05-08 00:00:00,HF00000GFR
1.0064,2015-05-15 00:00:00,HF00000GFR
1.0101,2015-05-22 00:00:00,HF00000GFR
1.0138,2015-05-29 00:00:00,HF00000GFR
1.0212,2015-06-12 00:00:00,HF00000GFR
1.0248,2015-06-19 00:00:00,HF00000GFR
1.0304,2015-06-26 00:00:00,HF00000GFR
1.0341,2015-07-03 00:00:00,HF00000GFR
1.0378,2015-07-10 00:00:00,HF00000GFR
1.0415,2015-07-17 00:00:00,HF00000GFR
1.0452,2015-07-24 00:00:00,HF00000GFR
1.0489,2015-07-31 00:00:00,HF00000GFR
