value,date,id
1.0,2015-04-01 00:00:00,HF00000GHH
1.004,2015-05-08 00:00:00,HF00000GHH
1.0012,2015-05-15 00:00:00,HF00000GHH
1.0341,2015-05-21 00:00:00,HF00000GHH
1.0659,2015-05-28 00:00:00,HF00000GHH
1.1205,2015-06-04 00:00:00,HF00000GHH
1.1244,2015-06-11 00:00:00,HF00000GHH
1.1344,2015-06-19 00:00:00,HF00000GHH
1.1249,2015-06-26 00:00:00,HF00000GHH
1.1248,2015-06-29 00:00:00,HF00000GHH
1.1228,2015-07-03 00:00:00,HF00000GHH
1.1624,2015-07-10 00:00:00,HF00000GHH
1.1777,2015-07-16 00:00:00,HF00000GHH
1.2008,2015-07-23 00:00:00,HF00000GHH
1.1792,2015-07-30 00:00:00,HF00000GHH
1.1811,2015-08-06 00:00:00,HF00000GHH
1.1931,2015-08-13 00:00:00,HF00000GHH
