value,date,id
1.0,2015-01-19 00:00:00,HF00000H43
1.0002,2015-01-20 00:00:00,HF00000H43
1.0063,2015-01-23 00:00:00,HF00000H43
0.9941,2015-01-30 00:00:00,HF00000H43
0.9864,2015-02-06 00:00:00,HF00000H43
0.9958,2015-02-13 00:00:00,HF00000H43
1.004,2015-02-17 00:00:00,HF00000H43
0.999,2015-02-27 00:00:00,HF00000H43
0.9986,2015-03-06 00:00:00,HF00000H43
1.0262,2015-03-13 00:00:00,HF00000H43
1.0957,2015-03-20 00:00:00,HF00000H43
1.0888,2015-03-27 00:00:00,HF00000H43
1.0953,2015-03-31 00:00:00,HF00000H43
1.1241,2015-04-03 00:00:00,HF00000H43
1.194,2015-04-10 00:00:00,HF00000H43
1.2336,2015-04-17 00:00:00,HF00000H43
1.2538,2015-04-24 00:00:00,HF00000H43
1.2664,2015-04-30 00:00:00,HF00000H43
1.2271,2015-05-08 00:00:00,HF00000H43
1.2725,2015-05-15 00:00:00,HF00000H43
1.364,2015-05-22 00:00:00,HF00000H43
1.344,2015-05-29 00:00:00,HF00000H43
1.456,2015-06-05 00:00:00,HF00000H43
1.482,2015-06-12 00:00:00,HF00000H43
1.319,2015-06-19 00:00:00,HF00000H43
1.256,2015-06-26 00:00:00,HF00000H43
1.182,2015-07-03 00:00:00,HF00000H43
1.226,2015-07-10 00:00:00,HF00000H43
1.2033,2015-07-17 00:00:00,HF00000H43
1.1911,2015-07-24 00:00:00,HF00000H43
1.0948,2015-07-31 00:00:00,HF00000H43
1.1056,2015-08-07 00:00:00,HF00000H43
