value,date,id
1.0,2015-04-20 00:00:00,HF00000HEF
1.0762,2015-04-30 00:00:00,HF00000HEF
1.0408,2015-05-08 00:00:00,HF00000HEF
1.1416,2015-05-15 00:00:00,HF00000HEF
1.2879,2015-05-22 00:00:00,HF00000HEF
1.3221,2015-05-29 00:00:00,HF00000HEF
1.4294,2015-06-05 00:00:00,HF00000HEF
1.4539,2015-06-12 00:00:00,HF00000HEF
1.2479,2015-06-19 00:00:00,HF00000HEF
1.1363,2015-06-26 00:00:00,HF00000HEF
1.0372,2015-07-03 00:00:00,HF00000HEF
1.043,2015-07-10 00:00:00,HF00000HEF
1.2492,2015-07-17 00:00:00,HF00000HEF
1.3234,2015-07-24 00:00:00,HF00000HEF
1.2395,2015-07-31 00:00:00,HF00000HEF
1.2636,2015-08-07 00:00:00,HF00000HEF
