value,date,id
1.0,2015-04-07 00:00:00,HF00000HGS
0.988,2015-04-17 00:00:00,HF00000HGS
0.991,2015-04-24 00:00:00,HF00000HGS
0.99,2015-04-30 00:00:00,HF00000HGS
1.007,2015-05-11 00:00:00,HF00000HGS
1.013,2015-05-19 00:00:00,HF00000HGS
1.018,2015-05-26 00:00:00,HF00000HGS
1.041,2015-06-05 00:00:00,HF00000HGS
1.066,2015-06-12 00:00:00,HF00000HGS
1.071,2015-06-19 00:00:00,HF00000HGS
1.107,2015-06-26 00:00:00,HF00000HGS
1.075,2015-07-03 00:00:00,HF00000HGS
1.085,2015-07-10 00:00:00,HF00000HGS
1.132,2015-07-17 00:00:00,HF00000HGS
1.132,2015-07-24 00:00:00,HF00000HGS
1.127,2015-07-31 00:00:00,HF00000HGS
1.127,2015-08-07 00:00:00,HF00000HGS
