value,date,id
1.0,2015-04-17 00:00:00,HF00000HI8
0.992,2015-04-24 00:00:00,HF00000HI8
0.9688,2015-05-08 00:00:00,HF00000HI8
1.0006,2015-05-15 00:00:00,HF00000HI8
1.0426,2015-05-22 00:00:00,HF00000HI8
1.0203,2015-05-29 00:00:00,HF00000HI8
1.0431,2015-06-05 00:00:00,HF00000HI8
1.0626,2015-06-12 00:00:00,HF00000HI8
1.0245,2015-06-19 00:00:00,HF00000HI8
1.0108,2015-06-26 00:00:00,HF00000HI8
0.9172,2015-07-03 00:00:00,HF00000HI8
0.9404,2015-07-10 00:00:00,HF00000HI8
0.9895,2015-07-17 00:00:00,HF00000HI8
0.9858,2015-07-24 00:00:00,HF00000HI8
0.9836,2015-07-31 00:00:00,HF00000HI8
