value,date,id
1.0,2015-04-20 00:00:00,HF00000HS7
1.005,2015-04-23 00:00:00,HF00000HS7
0.987,2015-04-29 00:00:00,HF00000HS7
0.986,2015-04-30 00:00:00,HF00000HS7
0.995,2015-05-18 00:00:00,HF00000HS7
1.002,2015-05-19 00:00:00,HF00000HS7
1.007,2015-05-20 00:00:00,HF00000HS7
1.007,2015-05-21 00:00:00,HF00000HS7
1.011,2015-05-22 00:00:00,HF00000HS7
1.027,2015-05-25 00:00:00,HF00000HS7
1.014,2015-05-26 00:00:00,HF00000HS7
1.019,2015-05-29 00:00:00,HF00000HS7
1.0,2015-06-04 00:00:00,HF00000HS7
0.975,2015-06-11 00:00:00,HF00000HS7
0.986,2015-06-18 00:00:00,HF00000HS7
1.048,2015-06-26 00:00:00,HF00000HS7
1.049,2015-06-30 00:00:00,HF00000HS7
1.076,2015-07-02 00:00:00,HF00000HS7
1.169,2015-07-09 00:00:00,HF00000HS7
1.196,2015-07-16 00:00:00,HF00000HS7
1.193,2015-07-23 00:00:00,HF00000HS7
1.203,2015-07-30 00:00:00,HF00000HS7
1.197,2015-07-31 00:00:00,HF00000HS7
1.197,2015-08-05 00:00:00,HF00000HS7
