value,date,id
1.0,2015-03-23 00:00:00,HF00000HV4
0.9996,2015-03-27 00:00:00,HF00000HV4
1.0426,2015-04-03 00:00:00,HF00000HV4
1.1185,2015-04-10 00:00:00,HF00000HV4
1.1287,2015-04-17 00:00:00,HF00000HV4
1.1119,2015-04-24 00:00:00,HF00000HV4
1.1429,2015-04-30 00:00:00,HF00000HV4
1.1126,2015-05-08 00:00:00,HF00000HV4
1.1124,2015-05-15 00:00:00,HF00000HV4
1.2521,2015-05-22 00:00:00,HF00000HV4
1.3269,2015-05-29 00:00:00,HF00000HV4
1.3678,2015-06-05 00:00:00,HF00000HV4
1.3902,2015-06-12 00:00:00,HF00000HV4
1.1981,2015-06-19 00:00:00,HF00000HV4
1.1265,2015-06-26 00:00:00,HF00000HV4
