value,date,id
1.0,2015-04-07 00:00:00,HF00000HX3
1.043,2015-04-10 00:00:00,HF00000HX3
1.002,2015-04-17 00:00:00,HF00000HX3
1.046,2015-04-30 00:00:00,HF00000HX3
1.075,2015-05-08 00:00:00,HF00000HX3
1.067,2015-05-15 00:00:00,HF00000HX3
1.366,2015-05-22 00:00:00,HF00000HX3
1.483,2015-05-29 00:00:00,HF00000HX3
1.474,2015-06-05 00:00:00,HF00000HX3
1.393,2015-06-12 00:00:00,HF00000HX3
1.275,2015-06-19 00:00:00,HF00000HX3
1.144,2015-07-03 00:00:00,HF00000HX3
1.071,2015-07-10 00:00:00,HF00000HX3
1.066,2015-07-20 00:00:00,HF00000HX3
1.076,2015-07-24 00:00:00,HF00000HX3
1.055,2015-07-30 00:00:00,HF00000HX3
1.05,2015-08-14 00:00:00,HF00000HX3
