value,date,id
1.0,2015-04-24 00:00:00,HF00000HXC
1.0007,2015-04-27 00:00:00,HF00000HXC
1.0009,2015-04-28 00:00:00,HF00000HXC
1.0011,2015-04-29 00:00:00,HF00000HXC
1.0012,2015-04-30 00:00:00,HF00000HXC
1.002,2015-05-04 00:00:00,HF00000HXC
1.0021,2015-05-05 00:00:00,HF00000HXC
1.0023,2015-05-06 00:00:00,HF00000HXC
1.0025,2015-05-07 00:00:00,HF00000HXC
1.0027,2015-05-08 00:00:00,HF00000HXC
1.0032,2015-05-11 00:00:00,HF00000HXC
1.0034,2015-05-12 00:00:00,HF00000HXC
1.0036,2015-05-13 00:00:00,HF00000HXC
1.0037,2015-05-14 00:00:00,HF00000HXC
1.0039,2015-05-15 00:00:00,HF00000HXC
1.0045,2015-05-18 00:00:00,HF00000HXC
1.0046,2015-05-19 00:00:00,HF00000HXC
1.0048,2015-05-20 00:00:00,HF00000HXC
1.005,2015-05-21 00:00:00,HF00000HXC
1.0052,2015-05-22 00:00:00,HF00000HXC
1.0057,2015-05-25 00:00:00,HF00000HXC
1.0059,2015-05-26 00:00:00,HF00000HXC
1.0061,2015-05-27 00:00:00,HF00000HXC
1.0062,2015-05-28 00:00:00,HF00000HXC
1.0064,2015-05-29 00:00:00,HF00000HXC
1.0069,2015-06-01 00:00:00,HF00000HXC
1.0071,2015-06-02 00:00:00,HF00000HXC
1.0073,2015-06-03 00:00:00,HF00000HXC
1.0075,2015-06-04 00:00:00,HF00000HXC
1.0077,2015-06-05 00:00:00,HF00000HXC
1.0082,2015-06-08 00:00:00,HF00000HXC
1.0084,2015-06-09 00:00:00,HF00000HXC
1.0085,2015-06-10 00:00:00,HF00000HXC
1.0087,2015-06-11 00:00:00,HF00000HXC
1.0089,2015-06-12 00:00:00,HF00000HXC
1.0094,2015-06-15 00:00:00,HF00000HXC
1.0096,2015-06-16 00:00:00,HF00000HXC
1.0098,2015-06-17 00:00:00,HF00000HXC
1.01,2015-06-18 00:00:00,HF00000HXC
1.0102,2015-06-19 00:00:00,HF00000HXC
1.0109,2015-06-23 00:00:00,HF00000HXC
1.011,2015-06-24 00:00:00,HF00000HXC
1.0112,2015-06-25 00:00:00,HF00000HXC
1.0114,2015-06-26 00:00:00,HF00000HXC
1.0119,2015-06-29 00:00:00,HF00000HXC
1.0121,2015-06-30 00:00:00,HF00000HXC
1.0123,2015-07-01 00:00:00,HF00000HXC
1.0125,2015-07-02 00:00:00,HF00000HXC
1.0126,2015-07-03 00:00:00,HF00000HXC
1.0132,2015-07-06 00:00:00,HF00000HXC
1.0134,2015-07-07 00:00:00,HF00000HXC
1.0135,2015-07-08 00:00:00,HF00000HXC
1.0137,2015-07-09 00:00:00,HF00000HXC
1.0139,2015-07-10 00:00:00,HF00000HXC
1.0144,2015-07-13 00:00:00,HF00000HXC
1.0146,2015-07-14 00:00:00,HF00000HXC
1.0148,2015-07-15 00:00:00,HF00000HXC
1.015,2015-07-16 00:00:00,HF00000HXC
1.0151,2015-07-17 00:00:00,HF00000HXC
1.0157,2015-07-20 00:00:00,HF00000HXC
1.0158,2015-07-21 00:00:00,HF00000HXC
1.016,2015-07-22 00:00:00,HF00000HXC
1.0162,2015-07-23 00:00:00,HF00000HXC
1.0164,2015-07-24 00:00:00,HF00000HXC
1.0169,2015-07-27 00:00:00,HF00000HXC
1.0171,2015-07-28 00:00:00,HF00000HXC
1.0173,2015-07-29 00:00:00,HF00000HXC
1.0175,2015-07-30 00:00:00,HF00000HXC
1.0176,2015-07-31 00:00:00,HF00000HXC
1.0182,2015-08-03 00:00:00,HF00000HXC
