value,date,id
1.0,2015-05-01 00:00:00,HF00000HZF
1.0316,2015-05-08 00:00:00,HF00000HZF
1.2038,2015-05-15 00:00:00,HF00000HZF
1.3044,2015-05-22 00:00:00,HF00000HZF
1.234,2015-05-29 00:00:00,HF00000HZF
1.3947,2015-06-05 00:00:00,HF00000HZF
1.4145,2015-06-12 00:00:00,HF00000HZF
1.3122,2015-06-19 00:00:00,HF00000HZF
1.2721,2015-06-26 00:00:00,HF00000HZF
0.9558,2015-07-03 00:00:00,HF00000HZF
0.8886,2015-07-10 00:00:00,HF00000HZF
1.0284,2015-07-17 00:00:00,HF00000HZF
1.0607,2015-07-24 00:00:00,HF00000HZF
1.0231,2015-07-31 00:00:00,HF00000HZF
1.1175,2015-08-07 00:00:00,HF00000HZF
