value,date,id
1.0,2014-12-20 00:00:00,HF00000I2P
0.9728,2014-12-31 00:00:00,HF00000I2P
1.1044,2015-01-09 00:00:00,HF00000I2P
1.2341,2015-01-23 00:00:00,HF00000I2P
1.1843,2015-01-30 00:00:00,HF00000I2P
1.4389,2015-02-27 00:00:00,HF00000I2P
2.0085,2015-03-20 00:00:00,HF00000I2P
2.6358,2015-04-17 00:00:00,HF00000I2P
2.7791,2015-04-30 00:00:00,HF00000I2P
2.4982,2015-05-08 00:00:00,HF00000I2P
2.599958,2015-05-15 00:00:00,HF00000I2P
2.923,2015-05-22 00:00:00,HF00000I2P
3.2707,2015-05-29 00:00:00,HF00000I2P
4.3332,2015-06-05 00:00:00,HF00000I2P
4.4478,2015-06-12 00:00:00,HF00000I2P
3.5304,2015-06-19 00:00:00,HF00000I2P
2.8228,2015-06-26 00:00:00,HF00000I2P
1.5449,2015-07-03 00:00:00,HF00000I2P
1.2666,2015-07-10 00:00:00,HF00000I2P
1.8957,2015-07-17 00:00:00,HF00000I2P
2.0339,2015-07-24 00:00:00,HF00000I2P
1.6706,2015-07-31 00:00:00,HF00000I2P
1.9696,2015-08-07 00:00:00,HF00000I2P
2.1675,2015-08-14 00:00:00,HF00000I2P
