value,date,id
1.0,2015-04-22 00:00:00,HF00000I4H
1.002,2015-04-30 00:00:00,HF00000I4H
0.993,2015-05-05 00:00:00,HF00000I4H
0.991,2015-05-08 00:00:00,HF00000I4H
1.011,2015-05-22 00:00:00,HF00000I4H
0.906,2015-07-09 00:00:00,HF00000I4H
1.007,2015-07-21 00:00:00,HF00000I4H
1.008,2015-07-27 00:00:00,HF00000I4H
1.007,2015-07-28 00:00:00,HF00000I4H
1.008,2015-07-29 00:00:00,HF00000I4H
1.007,2015-07-30 00:00:00,HF00000I4H
1.008,2015-07-31 00:00:00,HF00000I4H
1.008,2015-08-03 00:00:00,HF00000I4H
1.008,2015-08-04 00:00:00,HF00000I4H
1.008,2015-08-05 00:00:00,HF00000I4H
1.008,2015-08-06 00:00:00,HF00000I4H
1.008,2015-08-07 00:00:00,HF00000I4H
1.009,2015-08-11 00:00:00,HF00000I4H
1.009,2015-08-12 00:00:00,HF00000I4H
1.009,2015-08-13 00:00:00,HF00000I4H
