value,date,id
1.0,2015-01-12 00:00:00,HF00000KJY
1.0,2015-01-16 00:00:00,HF00000KJY
1.0,2015-01-23 00:00:00,HF00000KJY
1.0,2015-01-30 00:00:00,HF00000KJY
0.997,2015-02-06 00:00:00,HF00000KJY
1.002,2015-02-13 00:00:00,HF00000KJY
1.006,2015-02-17 00:00:00,HF00000KJY
1.006,2015-02-27 00:00:00,HF00000KJY
1.004,2015-03-06 00:00:00,HF00000KJY
1.026,2015-03-13 00:00:00,HF00000KJY
1.108,2015-03-20 00:00:00,HF00000KJY
1.139,2015-03-27 00:00:00,HF00000KJY
1.233,2015-04-03 00:00:00,HF00000KJY
1.292,2015-04-10 00:00:00,HF00000KJY
1.311,2015-04-17 00:00:00,HF00000KJY
1.333,2015-04-24 00:00:00,HF00000KJY
1.299,2015-04-30 00:00:00,HF00000KJY
1.459,2015-05-08 00:00:00,HF00000KJY
1.538,2015-05-15 00:00:00,HF00000KJY
1.558,2015-05-22 00:00:00,HF00000KJY
1.898,2015-05-29 00:00:00,HF00000KJY
1.967,2015-06-05 00:00:00,HF00000KJY
2.351,2015-06-12 00:00:00,HF00000KJY
2.158,2015-06-19 00:00:00,HF00000KJY
1.75,2015-06-26 00:00:00,HF00000KJY
1.426,2015-07-03 00:00:00,HF00000KJY
1.288,2015-07-10 00:00:00,HF00000KJY
1.592,2015-07-17 00:00:00,HF00000KJY
2.01,2015-07-24 00:00:00,HF00000KJY
1.719,2015-07-31 00:00:00,HF00000KJY
1.84,2015-08-07 00:00:00,HF00000KJY
1.842,2015-08-14 00:00:00,HF00000KJY
