value,date,id
1.0,2015-01-06 00:00:00,HF00000KMF
1.0,2015-01-09 00:00:00,HF00000KMF
1.0,2015-01-16 00:00:00,HF00000KMF
1.001,2015-01-23 00:00:00,HF00000KMF
1.001,2015-01-30 00:00:00,HF00000KMF
0.997,2015-02-06 00:00:00,HF00000KMF
1.002,2015-02-13 00:00:00,HF00000KMF
1.007,2015-02-17 00:00:00,HF00000KMF
1.007,2015-02-27 00:00:00,HF00000KMF
1.006,2015-03-06 00:00:00,HF00000KMF
1.027,2015-03-13 00:00:00,HF00000KMF
1.107,2015-03-20 00:00:00,HF00000KMF
1.139,2015-03-27 00:00:00,HF00000KMF
1.239,2015-04-03 00:00:00,HF00000KMF
1.3,2015-04-10 00:00:00,HF00000KMF
1.315,2015-04-17 00:00:00,HF00000KMF
1.332,2015-04-24 00:00:00,HF00000KMF
1.299,2015-04-30 00:00:00,HF00000KMF
1.468,2015-05-08 00:00:00,HF00000KMF
1.544,2015-05-15 00:00:00,HF00000KMF
1.556,2015-05-22 00:00:00,HF00000KMF
1.905,2015-05-29 00:00:00,HF00000KMF
1.971,2015-06-05 00:00:00,HF00000KMF
2.369,2015-06-12 00:00:00,HF00000KMF
2.198,2015-06-19 00:00:00,HF00000KMF
1.769,2015-06-26 00:00:00,HF00000KMF
1.448,2015-07-03 00:00:00,HF00000KMF
1.301,2015-07-10 00:00:00,HF00000KMF
2.038,2015-07-24 00:00:00,HF00000KMF
1.731,2015-07-31 00:00:00,HF00000KMF
1.864,2015-08-07 00:00:00,HF00000KMF
1.865,2015-08-14 00:00:00,HF00000KMF
