value,date,id
1.0,2014-08-20 00:00:00,HF00000MW7
1.0,2014-11-05 00:00:00,HF00000MW7
0.9964,2014-11-07 00:00:00,HF00000MW7
0.9878,2014-11-14 00:00:00,HF00000MW7
0.995,2014-11-21 00:00:00,HF00000MW7
1.0156,2014-11-28 00:00:00,HF00000MW7
0.9931,2014-12-05 00:00:00,HF00000MW7
0.9852,2014-12-12 00:00:00,HF00000MW7
0.9572,2014-12-19 00:00:00,HF00000MW7
0.975,2014-12-26 00:00:00,HF00000MW7
1.0461,2015-01-09 00:00:00,HF00000MW7
1.0502,2015-01-16 00:00:00,HF00000MW7
1.0604,2015-01-23 00:00:00,HF00000MW7
1.0656,2015-01-30 00:00:00,HF00000MW7
1.0564,2015-02-06 00:00:00,HF00000MW7
1.0544,2015-02-13 00:00:00,HF00000MW7
1.0561,2015-02-27 00:00:00,HF00000MW7
1.0518,2015-03-06 00:00:00,HF00000MW7
1.0505,2015-03-13 00:00:00,HF00000MW7
1.0638,2015-03-20 00:00:00,HF00000MW7
1.0854,2015-03-27 00:00:00,HF00000MW7
1.1265,2015-04-03 00:00:00,HF00000MW7
1.1221,2015-04-10 00:00:00,HF00000MW7
1.1137,2015-04-17 00:00:00,HF00000MW7
1.108,2015-04-24 00:00:00,HF00000MW7
1.1199,2015-05-05 00:00:00,HF00000MW7
