value,date,id
1.0,2015-04-27 00:00:00,HF00000S18
1.0,2015-04-30 00:00:00,HF00000S18
1.008,2015-05-08 00:00:00,HF00000S18
1.012,2015-05-15 00:00:00,HF00000S18
1.133,2015-05-22 00:00:00,HF00000S18
1.122,2015-05-29 00:00:00,HF00000S18
1.162,2015-06-05 00:00:00,HF00000S18
1.224,2015-06-12 00:00:00,HF00000S18
1.027,2015-06-19 00:00:00,HF00000S18
0.894,2015-06-26 00:00:00,HF00000S18
0.87,2015-06-30 00:00:00,HF00000S18
0.695,2015-07-03 00:00:00,HF00000S18
0.644,2015-07-10 00:00:00,HF00000S18
0.702,2015-07-17 00:00:00,HF00000S18
0.746,2015-07-24 00:00:00,HF00000S18
0.712,2015-07-31 00:00:00,HF00000S18
0.731,2015-08-07 00:00:00,HF00000S18
