value,date,id
1.0,2015-01-26 00:00:00,HF00000S1M
0.9989,2015-03-20 00:00:00,HF00000S1M
0.9998,2015-03-27 00:00:00,HF00000S1M
0.9997,2015-04-01 00:00:00,HF00000S1M
0.9997,2015-04-02 00:00:00,HF00000S1M
0.9997,2015-04-03 00:00:00,HF00000S1M
0.9996,2015-04-07 00:00:00,HF00000S1M
0.9996,2015-04-08 00:00:00,HF00000S1M
0.9996,2015-04-09 00:00:00,HF00000S1M
0.9995,2015-04-10 00:00:00,HF00000S1M
0.9995,2015-04-13 00:00:00,HF00000S1M
0.9995,2015-04-14 00:00:00,HF00000S1M
0.9995,2015-04-15 00:00:00,HF00000S1M
0.9994,2015-04-16 00:00:00,HF00000S1M
0.9994,2015-04-17 00:00:00,HF00000S1M
0.9994,2015-04-20 00:00:00,HF00000S1M
0.9993,2015-04-21 00:00:00,HF00000S1M
0.9993,2015-04-22 00:00:00,HF00000S1M
0.9993,2015-04-24 00:00:00,HF00000S1M
0.9992,2015-04-30 00:00:00,HF00000S1M
0.999,2015-05-08 00:00:00,HF00000S1M
0.9989,2015-05-15 00:00:00,HF00000S1M
0.9987,2015-05-22 00:00:00,HF00000S1M
0.9986,2015-05-29 00:00:00,HF00000S1M
0.9984,2015-06-05 00:00:00,HF00000S1M
0.9983,2015-06-12 00:00:00,HF00000S1M
0.9982,2015-06-19 00:00:00,HF00000S1M
0.9998,2015-06-26 00:00:00,HF00000S1M
0.9996,2015-07-03 00:00:00,HF00000S1M
0.9995,2015-07-10 00:00:00,HF00000S1M
0.9994,2015-07-17 00:00:00,HF00000S1M
0.9992,2015-07-24 00:00:00,HF00000S1M
0.9991,2015-07-31 00:00:00,HF00000S1M
