value,date,id
1.0,2015-03-11 00:00:00,HF00000S1V
1.0015,2015-03-20 00:00:00,HF00000S1V
1.0021,2015-03-23 00:00:00,HF00000S1V
1.0023,2015-03-24 00:00:00,HF00000S1V
1.0025,2015-03-25 00:00:00,HF00000S1V
1.0027,2015-03-26 00:00:00,HF00000S1V
1.0029,2015-03-27 00:00:00,HF00000S1V
1.0035,2015-03-30 00:00:00,HF00000S1V
1.0036,2015-03-31 00:00:00,HF00000S1V
1.0038,2015-04-01 00:00:00,HF00000S1V
1.004,2015-04-02 00:00:00,HF00000S1V
1.0042,2015-04-03 00:00:00,HF00000S1V
1.005,2015-04-07 00:00:00,HF00000S1V
1.0052,2015-04-08 00:00:00,HF00000S1V
1.0054,2015-04-09 00:00:00,HF00000S1V
1.0056,2015-04-10 00:00:00,HF00000S1V
1.0061,2015-04-13 00:00:00,HF00000S1V
1.0063,2015-04-14 00:00:00,HF00000S1V
1.0065,2015-04-15 00:00:00,HF00000S1V
1.0067,2015-04-16 00:00:00,HF00000S1V
1.0069,2015-04-17 00:00:00,HF00000S1V
1.0075,2015-04-20 00:00:00,HF00000S1V
1.0077,2015-04-21 00:00:00,HF00000S1V
1.0079,2015-04-22 00:00:00,HF00000S1V
1.0081,2015-04-23 00:00:00,HF00000S1V
1.0082,2015-04-24 00:00:00,HF00000S1V
1.0088,2015-04-27 00:00:00,HF00000S1V
1.009,2015-04-28 00:00:00,HF00000S1V
1.0092,2015-04-29 00:00:00,HF00000S1V
1.0094,2015-04-30 00:00:00,HF00000S1V
1.0102,2015-05-04 00:00:00,HF00000S1V
1.0104,2015-05-05 00:00:00,HF00000S1V
1.0105,2015-05-06 00:00:00,HF00000S1V
1.0107,2015-05-07 00:00:00,HF00000S1V
1.0109,2015-05-08 00:00:00,HF00000S1V
1.0115,2015-05-11 00:00:00,HF00000S1V
1.0117,2015-05-12 00:00:00,HF00000S1V
1.0119,2015-05-13 00:00:00,HF00000S1V
1.0121,2015-05-14 00:00:00,HF00000S1V
1.0123,2015-05-15 00:00:00,HF00000S1V
1.0128,2015-05-18 00:00:00,HF00000S1V
1.013,2015-05-19 00:00:00,HF00000S1V
1.0132,2015-05-20 00:00:00,HF00000S1V
1.0134,2015-05-21 00:00:00,HF00000S1V
1.0136,2015-05-22 00:00:00,HF00000S1V
1.0142,2015-05-25 00:00:00,HF00000S1V
1.0144,2015-05-26 00:00:00,HF00000S1V
1.0146,2015-05-27 00:00:00,HF00000S1V
1.0148,2015-05-28 00:00:00,HF00000S1V
1.015,2015-05-29 00:00:00,HF00000S1V
1.0155,2015-06-01 00:00:00,HF00000S1V
1.0157,2015-06-02 00:00:00,HF00000S1V
1.0159,2015-06-03 00:00:00,HF00000S1V
1.0161,2015-06-04 00:00:00,HF00000S1V
1.0163,2015-06-05 00:00:00,HF00000S1V
1.0169,2015-06-08 00:00:00,HF00000S1V
