value,date,id
1.0,2015-04-17 00:00:00,HF00000S9Z
0.9744,2015-04-24 00:00:00,HF00000S9Z
0.9702,2015-04-30 00:00:00,HF00000S9Z
0.9485,2015-05-08 00:00:00,HF00000S9Z
0.9406,2015-05-15 00:00:00,HF00000S9Z
0.9596,2015-05-22 00:00:00,HF00000S9Z
0.9428,2015-05-29 00:00:00,HF00000S9Z
0.9431,2015-06-05 00:00:00,HF00000S9Z
0.9389,2015-06-12 00:00:00,HF00000S9Z
0.871,2015-06-19 00:00:00,HF00000S9Z
0.8728,2015-06-26 00:00:00,HF00000S9Z
0.8514,2015-07-03 00:00:00,HF00000S9Z
0.8307,2015-07-10 00:00:00,HF00000S9Z
0.8301,2015-07-17 00:00:00,HF00000S9Z
0.8261,2015-07-24 00:00:00,HF00000S9Z
0.8144,2015-07-31 00:00:00,HF00000S9Z
0.8172,2015-08-07 00:00:00,HF00000S9Z
