value,date,id
1.0,2015-05-15 00:00:00,HF00000SS5
1.0,2015-05-18 00:00:00,HF00000SS5
1.0003,2015-05-19 00:00:00,HF00000SS5
1.0005,2015-05-20 00:00:00,HF00000SS5
1.0008,2015-05-21 00:00:00,HF00000SS5
1.0011,2015-05-22 00:00:00,HF00000SS5
1.0017,2015-05-25 00:00:00,HF00000SS5
1.0021,2015-05-26 00:00:00,HF00000SS5
1.0027,2015-05-27 00:00:00,HF00000SS5
1.0035,2015-05-28 00:00:00,HF00000SS5
1.0031,2015-05-29 00:00:00,HF00000SS5
1.0036,2015-06-01 00:00:00,HF00000SS5
1.0039,2015-06-02 00:00:00,HF00000SS5
1.0042,2015-06-03 00:00:00,HF00000SS5
1.0044,2015-06-04 00:00:00,HF00000SS5
1.0045,2015-06-05 00:00:00,HF00000SS5
1.0047,2015-06-08 00:00:00,HF00000SS5
1.0049,2015-06-09 00:00:00,HF00000SS5
1.005,2015-06-10 00:00:00,HF00000SS5
1.0066,2015-06-11 00:00:00,HF00000SS5
1.0074,2015-06-12 00:00:00,HF00000SS5
1.0079,2015-06-15 00:00:00,HF00000SS5
1.0081,2015-06-16 00:00:00,HF00000SS5
1.0088,2015-06-17 00:00:00,HF00000SS5
1.0091,2015-06-18 00:00:00,HF00000SS5
1.0094,2015-06-19 00:00:00,HF00000SS5
1.0092,2015-06-23 00:00:00,HF00000SS5
1.0102,2015-06-24 00:00:00,HF00000SS5
1.0114,2015-06-25 00:00:00,HF00000SS5
1.0116,2015-06-26 00:00:00,HF00000SS5
1.0144,2015-06-29 00:00:00,HF00000SS5
1.0148,2015-06-30 00:00:00,HF00000SS5
1.0154,2015-07-02 00:00:00,HF00000SS5
1.0145,2015-07-03 00:00:00,HF00000SS5
1.0139,2015-07-06 00:00:00,HF00000SS5
1.0138,2015-07-07 00:00:00,HF00000SS5
1.0135,2015-07-08 00:00:00,HF00000SS5
1.0131,2015-07-09 00:00:00,HF00000SS5
1.0137,2015-07-10 00:00:00,HF00000SS5
1.0141,2015-07-13 00:00:00,HF00000SS5
1.0146,2015-07-14 00:00:00,HF00000SS5
1.0149,2015-07-15 00:00:00,HF00000SS5
1.0149,2015-07-16 00:00:00,HF00000SS5
1.015,2015-07-17 00:00:00,HF00000SS5
1.0155,2015-07-20 00:00:00,HF00000SS5
1.0159,2015-07-21 00:00:00,HF00000SS5
1.0161,2015-07-22 00:00:00,HF00000SS5
1.0165,2015-07-23 00:00:00,HF00000SS5
1.0172,2015-07-24 00:00:00,HF00000SS5
1.017,2015-07-27 00:00:00,HF00000SS5
1.0164,2015-07-28 00:00:00,HF00000SS5
1.0165,2015-07-29 00:00:00,HF00000SS5
1.0168,2015-07-30 00:00:00,HF00000SS5
1.0168,2015-07-31 00:00:00,HF00000SS5
1.0165,2015-08-03 00:00:00,HF00000SS5
