value,date,id
1.0,2015-06-11 00:00:00,HF00000T4S
1.006,2015-06-15 00:00:00,HF00000T4S
1.012,2015-06-16 00:00:00,HF00000T4S
1.006,2015-06-17 00:00:00,HF00000T4S
1.015,2015-06-18 00:00:00,HF00000T4S
1.014,2015-06-19 00:00:00,HF00000T4S
1.01,2015-06-26 00:00:00,HF00000T4S
1.014,2015-06-29 00:00:00,HF00000T4S
0.982,2015-07-03 00:00:00,HF00000T4S
0.912,2015-07-10 00:00:00,HF00000T4S
0.937,2015-07-15 00:00:00,HF00000T4S
0.961,2015-07-16 00:00:00,HF00000T4S
1.005,2015-07-17 00:00:00,HF00000T4S
1.02,2015-07-24 00:00:00,HF00000T4S
1.023,2015-07-31 00:00:00,HF00000T4S
1.073,2015-08-07 00:00:00,HF00000T4S
