value,date,id
1.0,2015-05-21 00:00:00,HF00000T5B
1.0028,2015-05-22 00:00:00,HF00000T5B
1.0236,2015-05-25 00:00:00,HF00000T5B
1.0551,2015-05-26 00:00:00,HF00000T5B
1.0561,2015-05-27 00:00:00,HF00000T5B
0.9804,2015-05-28 00:00:00,HF00000T5B
0.9785,2015-05-29 00:00:00,HF00000T5B
1.0437,2015-06-01 00:00:00,HF00000T5B
1.0704,2015-06-02 00:00:00,HF00000T5B
1.0578,2015-06-03 00:00:00,HF00000T5B
1.0553,2015-06-04 00:00:00,HF00000T5B
1.0558,2015-06-05 00:00:00,HF00000T5B
1.062,2015-06-08 00:00:00,HF00000T5B
1.0549,2015-06-09 00:00:00,HF00000T5B
1.076,2015-06-10 00:00:00,HF00000T5B
1.0792,2015-06-11 00:00:00,HF00000T5B
1.0983,2015-06-12 00:00:00,HF00000T5B
1.0661,2015-06-15 00:00:00,HF00000T5B
1.0055,2015-06-16 00:00:00,HF00000T5B
1.0135,2015-06-17 00:00:00,HF00000T5B
0.9817,2015-06-18 00:00:00,HF00000T5B
0.9203,2015-06-19 00:00:00,HF00000T5B
0.9266,2015-06-23 00:00:00,HF00000T5B
0.9355,2015-06-24 00:00:00,HF00000T5B
0.9054,2015-06-25 00:00:00,HF00000T5B
0.8433,2015-06-26 00:00:00,HF00000T5B
0.8176,2015-06-29 00:00:00,HF00000T5B
0.8474,2015-06-30 00:00:00,HF00000T5B
0.8112,2015-07-01 00:00:00,HF00000T5B
0.805,2015-07-02 00:00:00,HF00000T5B
0.8021,2015-07-03 00:00:00,HF00000T5B
0.8071,2015-07-06 00:00:00,HF00000T5B
0.7793,2015-07-07 00:00:00,HF00000T5B
0.6927,2015-07-08 00:00:00,HF00000T5B
0.7386,2015-07-09 00:00:00,HF00000T5B
0.7766,2015-07-10 00:00:00,HF00000T5B
0.7822,2015-07-13 00:00:00,HF00000T5B
0.7733,2015-07-14 00:00:00,HF00000T5B
0.7528,2015-07-15 00:00:00,HF00000T5B
0.7513,2015-07-16 00:00:00,HF00000T5B
0.7714,2015-07-17 00:00:00,HF00000T5B
0.7779,2015-07-20 00:00:00,HF00000T5B
0.7832,2015-07-21 00:00:00,HF00000T5B
0.781,2015-07-22 00:00:00,HF00000T5B
0.7956,2015-07-23 00:00:00,HF00000T5B
0.7848,2015-07-24 00:00:00,HF00000T5B
0.7487,2015-07-27 00:00:00,HF00000T5B
0.7337,2015-07-28 00:00:00,HF00000T5B
0.748,2015-07-29 00:00:00,HF00000T5B
0.7349,2015-07-30 00:00:00,HF00000T5B
0.7281,2015-07-31 00:00:00,HF00000T5B
0.7191,2015-08-03 00:00:00,HF00000T5B
