value,date,id
1.0,2015-04-17 00:00:00,HF00000U5B
1.0,2015-04-23 00:00:00,HF00000U5B
1.0,2015-04-30 00:00:00,HF00000U5B
1.003,2015-05-08 00:00:00,HF00000U5B
1.021,2015-05-15 00:00:00,HF00000U5B
1.039,2015-05-22 00:00:00,HF00000U5B
1.04,2015-05-29 00:00:00,HF00000U5B
1.072,2015-06-05 00:00:00,HF00000U5B
1.095,2015-06-12 00:00:00,HF00000U5B
1.049,2015-06-19 00:00:00,HF00000U5B
1.028,2015-06-26 00:00:00,HF00000U5B
1.033,2015-06-30 00:00:00,HF00000U5B
0.955,2015-07-03 00:00:00,HF00000U5B
0.954,2015-07-10 00:00:00,HF00000U5B
1.012,2015-07-17 00:00:00,HF00000U5B
1.075,2015-07-24 00:00:00,HF00000U5B
1.072,2015-07-31 00:00:00,HF00000U5B
