value,date,id
1.0,2015-04-28 00:00:00,HF00000V17
1.0,2015-04-30 00:00:00,HF00000V17
1.0203,2015-05-08 00:00:00,HF00000V17
1.0659,2015-05-15 00:00:00,HF00000V17
1.1943,2015-05-22 00:00:00,HF00000V17
1.1814,2015-05-29 00:00:00,HF00000V17
1.269,2015-06-05 00:00:00,HF00000V17
1.2767,2015-06-12 00:00:00,HF00000V17
1.2228,2015-06-15 00:00:00,HF00000V17
1.0787,2015-06-19 00:00:00,HF00000V17
0.9643,2015-06-26 00:00:00,HF00000V17
0.9379,2015-06-30 00:00:00,HF00000V17
0.8255,2015-07-03 00:00:00,HF00000V17
0.791,2015-07-10 00:00:00,HF00000V17
0.8253,2015-07-17 00:00:00,HF00000V17
0.8546,2015-07-24 00:00:00,HF00000V17
0.8069,2015-07-31 00:00:00,HF00000V17
0.8147,2015-08-07 00:00:00,HF00000V17
