value,date,id
1.0,2015-05-20 00:00:00,HF00000V4P
1.00033,2015-05-21 00:00:00,HF00000V4P
1.001757,2015-05-22 00:00:00,HF00000V4P
1.007013,2015-05-25 00:00:00,HF00000V4P
1.023416,2015-05-26 00:00:00,HF00000V4P
1.013937,2015-05-27 00:00:00,HF00000V4P
1.015174,2015-05-28 00:00:00,HF00000V4P
1.017043,2015-05-29 00:00:00,HF00000V4P
1.038428,2015-06-01 00:00:00,HF00000V4P
1.048204,2015-06-02 00:00:00,HF00000V4P
1.070055,2015-06-03 00:00:00,HF00000V4P
1.080098,2015-06-04 00:00:00,HF00000V4P
1.078746,2015-06-05 00:00:00,HF00000V4P
1.063654,2015-06-08 00:00:00,HF00000V4P
1.084946,2015-06-09 00:00:00,HF00000V4P
1.101323,2015-06-10 00:00:00,HF00000V4P
1.079975,2015-06-11 00:00:00,HF00000V4P
1.100559,2015-06-12 00:00:00,HF00000V4P
1.048471,2015-06-15 00:00:00,HF00000V4P
1.075936,2015-06-16 00:00:00,HF00000V4P
1.086817,2015-06-17 00:00:00,HF00000V4P
1.123901,2015-06-18 00:00:00,HF00000V4P
1.117783,2015-06-19 00:00:00,HF00000V4P
1.104266,2015-06-23 00:00:00,HF00000V4P
1.138542,2015-06-24 00:00:00,HF00000V4P
1.148329,2015-06-25 00:00:00,HF00000V4P
1.17287,2015-06-26 00:00:00,HF00000V4P
1.185292,2015-06-29 00:00:00,HF00000V4P
1.155819,2015-06-30 00:00:00,HF00000V4P
1.153502,2015-07-01 00:00:00,HF00000V4P
1.150828,2015-07-02 00:00:00,HF00000V4P
1.163004,2015-07-03 00:00:00,HF00000V4P
1.145506,2015-07-06 00:00:00,HF00000V4P
1.165844,2015-07-07 00:00:00,HF00000V4P
1.081694,2015-07-08 00:00:00,HF00000V4P
1.209801,2015-07-09 00:00:00,HF00000V4P
1.245672,2015-07-10 00:00:00,HF00000V4P
1.263748,2015-07-13 00:00:00,HF00000V4P
1.268993,2015-07-14 00:00:00,HF00000V4P
1.297634,2015-07-15 00:00:00,HF00000V4P
1.283474,2015-07-16 00:00:00,HF00000V4P
1.287938,2015-07-17 00:00:00,HF00000V4P
1.311942,2015-07-20 00:00:00,HF00000V4P
1.340075,2015-07-21 00:00:00,HF00000V4P
1.347542,2015-07-22 00:00:00,HF00000V4P
1.340559,2015-07-23 00:00:00,HF00000V4P
1.315001,2015-07-24 00:00:00,HF00000V4P
1.264609,2015-07-27 00:00:00,HF00000V4P
1.251694,2015-07-28 00:00:00,HF00000V4P
1.268039,2015-07-29 00:00:00,HF00000V4P
1.262493,2015-07-30 00:00:00,HF00000V4P
1.23175,2015-07-31 00:00:00,HF00000V4P
1.117834,2015-08-03 00:00:00,HF00000V4P
1.082919,2015-08-04 00:00:00,HF00000V4P
1.090283,2015-08-05 00:00:00,HF00000V4P
1.090087,2015-08-06 00:00:00,HF00000V4P
1.047877,2015-08-07 00:00:00,HF00000V4P
1.050159,2015-08-10 00:00:00,HF00000V4P
1.042746,2015-08-11 00:00:00,HF00000V4P
1.054886,2015-08-12 00:00:00,HF00000V4P
1.103377,2015-08-13 00:00:00,HF00000V4P
1.092325,2015-08-14 00:00:00,HF00000V4P
