value,date,id
1.0,2015-06-12 00:00:00,HF00000VI3
1.0003,2015-06-15 00:00:00,HF00000VI3
1.0004,2015-06-16 00:00:00,HF00000VI3
1.0005,2015-06-17 00:00:00,HF00000VI3
1.0006,2015-06-18 00:00:00,HF00000VI3
1.0007,2015-06-19 00:00:00,HF00000VI3
1.001,2015-06-23 00:00:00,HF00000VI3
1.0011,2015-06-24 00:00:00,HF00000VI3
1.0012,2015-06-25 00:00:00,HF00000VI3
1.0012,2015-06-26 00:00:00,HF00000VI3
1.0015,2015-06-29 00:00:00,HF00000VI3
1.0016,2015-06-30 00:00:00,HF00000VI3
1.0016,2015-07-01 00:00:00,HF00000VI3
1.0017,2015-07-02 00:00:00,HF00000VI3
1.0018,2015-07-03 00:00:00,HF00000VI3
1.0021,2015-07-06 00:00:00,HF00000VI3
1.0021,2015-07-07 00:00:00,HF00000VI3
1.0022,2015-07-08 00:00:00,HF00000VI3
1.0023,2015-07-09 00:00:00,HF00000VI3
1.0024,2015-07-10 00:00:00,HF00000VI3
1.0026,2015-07-13 00:00:00,HF00000VI3
1.0027,2015-07-14 00:00:00,HF00000VI3
1.0028,2015-07-15 00:00:00,HF00000VI3
1.0029,2015-07-16 00:00:00,HF00000VI3
1.003,2015-07-17 00:00:00,HF00000VI3
1.0032,2015-07-20 00:00:00,HF00000VI3
1.0033,2015-07-21 00:00:00,HF00000VI3
1.0034,2015-07-22 00:00:00,HF00000VI3
1.0035,2015-07-23 00:00:00,HF00000VI3
1.0035,2015-07-24 00:00:00,HF00000VI3
1.0038,2015-07-27 00:00:00,HF00000VI3
1.0039,2015-07-28 00:00:00,HF00000VI3
1.0039,2015-07-29 00:00:00,HF00000VI3
1.004,2015-07-30 00:00:00,HF00000VI3
1.0041,2015-07-31 00:00:00,HF00000VI3
1.0044,2015-08-03 00:00:00,HF00000VI3
