value,date,id
1.0,2015-06-18 00:00:00,HF00000VOD
1.0,2015-06-19 00:00:00,HF00000VOD
1.0,2015-06-23 00:00:00,HF00000VOD
1.0,2015-06-24 00:00:00,HF00000VOD
1.0,2015-06-25 00:00:00,HF00000VOD
1.0,2015-06-26 00:00:00,HF00000VOD
1.0,2015-06-29 00:00:00,HF00000VOD
1.0,2015-06-30 00:00:00,HF00000VOD
0.9996,2015-07-01 00:00:00,HF00000VOD
0.9996,2015-07-02 00:00:00,HF00000VOD
0.9996,2015-07-03 00:00:00,HF00000VOD
0.9996,2015-07-06 00:00:00,HF00000VOD
0.9854,2015-07-07 00:00:00,HF00000VOD
0.9854,2015-07-08 00:00:00,HF00000VOD
0.9854,2015-07-09 00:00:00,HF00000VOD
0.9854,2015-07-10 00:00:00,HF00000VOD
0.9854,2015-07-13 00:00:00,HF00000VOD
0.9852,2015-07-14 00:00:00,HF00000VOD
0.9852,2015-07-15 00:00:00,HF00000VOD
0.9852,2015-07-16 00:00:00,HF00000VOD
0.9851,2015-07-17 00:00:00,HF00000VOD
0.985,2015-07-20 00:00:00,HF00000VOD
0.9581,2015-07-21 00:00:00,HF00000VOD
0.9824,2015-07-22 00:00:00,HF00000VOD
0.9825,2015-07-23 00:00:00,HF00000VOD
0.9827,2015-07-24 00:00:00,HF00000VOD
