value,date,id
1.0,2015-06-26 00:00:00,HF00000W4A
0.996,2015-06-29 00:00:00,HF00000W4A
0.996,2015-06-30 00:00:00,HF00000W4A
0.995,2015-07-01 00:00:00,HF00000W4A
0.994,2015-07-02 00:00:00,HF00000W4A
0.994,2015-07-03 00:00:00,HF00000W4A
0.991,2015-07-06 00:00:00,HF00000W4A
0.99,2015-07-07 00:00:00,HF00000W4A
0.99,2015-07-08 00:00:00,HF00000W4A
0.989,2015-07-09 00:00:00,HF00000W4A
0.988,2015-07-10 00:00:00,HF00000W4A
0.986,2015-07-13 00:00:00,HF00000W4A
0.986,2015-07-14 00:00:00,HF00000W4A
0.984,2015-07-15 00:00:00,HF00000W4A
0.971,2015-07-16 00:00:00,HF00000W4A
0.975,2015-07-17 00:00:00,HF00000W4A
0.989,2015-07-20 00:00:00,HF00000W4A
0.991,2015-07-21 00:00:00,HF00000W4A
0.993,2015-07-22 00:00:00,HF00000W4A
0.997,2015-07-23 00:00:00,HF00000W4A
1.003,2015-07-24 00:00:00,HF00000W4A
1.001,2015-07-27 00:00:00,HF00000W4A
0.984,2015-07-28 00:00:00,HF00000W4A
0.981,2015-07-29 00:00:00,HF00000W4A
0.99,2015-07-30 00:00:00,HF00000W4A
0.985,2015-07-31 00:00:00,HF00000W4A
0.981,2015-08-03 00:00:00,HF00000W4A
