value,date,id
1.0,2015-04-21 00:00:00,HF00000WOJ
1.0011,2015-05-15 00:00:00,HF00000WOJ
1.0799,2015-05-22 00:00:00,HF00000WOJ
1.1805,2015-05-29 00:00:00,HF00000WOJ
1.1861,2015-06-05 00:00:00,HF00000WOJ
1.2788,2015-06-12 00:00:00,HF00000WOJ
1.0157,2015-06-19 00:00:00,HF00000WOJ
0.8757,2015-06-26 00:00:00,HF00000WOJ
0.8802,2015-07-03 00:00:00,HF00000WOJ
0.8752,2015-07-10 00:00:00,HF00000WOJ
0.8815,2015-07-17 00:00:00,HF00000WOJ
0.8977,2015-07-24 00:00:00,HF00000WOJ
0.8683,2015-07-31 00:00:00,HF00000WOJ
0.8729,2015-08-07 00:00:00,HF00000WOJ
