value,date,id
1.0,2009-04-30 00:00:00,HF00000WVV
1.0,2015-03-23 00:00:00,HF00000WVV
0.9999,2015-04-03 00:00:00,HF00000WVV
0.9998,2015-04-10 00:00:00,HF00000WVV
0.9997,2015-04-15 00:00:00,HF00000WVV
0.9997,2015-04-17 00:00:00,HF00000WVV
0.9996,2015-04-24 00:00:00,HF00000WVV
1.0088,2015-04-30 00:00:00,HF00000WVV
1.0155,2015-05-08 00:00:00,HF00000WVV
1.0222,2015-05-15 00:00:00,HF00000WVV
1.0389,2015-05-22 00:00:00,HF00000WVV
1.0536,2015-05-29 00:00:00,HF00000WVV
1.1181,2015-06-05 00:00:00,HF00000WVV
1.1465,2015-06-12 00:00:00,HF00000WVV
1.1465,2015-06-15 00:00:00,HF00000WVV
1.1103,2015-06-19 00:00:00,HF00000WVV
1.1396,2015-06-26 00:00:00,HF00000WVV
1.1108,2015-07-03 00:00:00,HF00000WVV
1.129,2015-07-10 00:00:00,HF00000WVV
1.1744,2015-07-17 00:00:00,HF00000WVV
1.1795,2015-07-24 00:00:00,HF00000WVV
1.1756,2015-07-31 00:00:00,HF00000WVV
1.1798,2015-08-07 00:00:00,HF00000WVV
