value,date,id
1.0,2015-07-27 00:00:00,HF00000WYB
0.99512,2015-07-28 00:00:00,HF00000WYB
0.994793,2015-07-29 00:00:00,HF00000WYB
0.991897,2015-07-30 00:00:00,HF00000WYB
0.982735,2015-07-31 00:00:00,HF00000WYB
1.00459,2015-08-03 00:00:00,HF00000WYB
1.028438,2015-08-04 00:00:00,HF00000WYB
1.018844,2015-08-05 00:00:00,HF00000WYB
1.013628,2015-08-06 00:00:00,HF00000WYB
1.012822,2015-08-07 00:00:00,HF00000WYB
1.01032,2015-08-10 00:00:00,HF00000WYB
1.008484,2015-08-11 00:00:00,HF00000WYB
1.00525,2015-08-12 00:00:00,HF00000WYB
1.008413,2015-08-13 00:00:00,HF00000WYB
1.003227,2015-08-14 00:00:00,HF00000WYB
